id,title,scan_url,card_type_id,card_rarity_id,card_set_id,type_id,card_number,set_raw,card_type_raw,pokemon_type_raw,rarity_raw
1,Alakazam,NULL,0,0,1,0,1,"Base Set","Pokémon - Stage 2",Psychic,"Rare Holo"
2,Blastoise,NULL,0,0,1,0,2,"Base Set","Pokémon - Stage 2",Water,"Rare Holo"
3,Chansey,NULL,0,0,1,0,3,"Base Set","Pokémon - Basic",Colorless,"Rare Holo"
4,Charizard,NULL,0,0,1,0,4,"Base Set","Pokémon - Stage 2",Fire,"Rare Holo"
5,Clefairy,NULL,0,0,1,0,5,"Base Set","Pokémon - Basic",Colorless,"Rare Holo"
6,Gyarados,NULL,0,0,1,0,6,"Base Set","Pokémon - Stage 1",Water,"Rare Holo"
7,Hitmonchan,NULL,0,0,1,0,7,"Base Set","Pokémon - Basic",Fighting,"Rare Holo"
8,Machamp,NULL,0,0,1,0,8,"Base Set","Pokémon - Stage 2",Fighting,"Rare Holo"
9,Magneton,NULL,0,0,1,0,9,"Base Set","Pokémon - Stage 1",Lightning,"Rare Holo"
10,Mewtwo,NULL,0,0,1,0,10,"Base Set","Pokémon - Basic",Psychic,"Rare Holo"
11,Nidoking,NULL,0,0,1,0,11,"Base Set","Pokémon - Stage 2",Grass,"Rare Holo"
12,Ninetales,NULL,0,0,1,0,12,"Base Set","Pokémon - Stage 1",Fire,"Rare Holo"
13,Poliwrath,NULL,0,0,1,0,13,"Base Set","Pokémon - Stage 1",Water,"Rare Holo"
14,Raichu,NULL,0,0,1,0,14,"Base Set","Pokémon - Stage 1",Lightning,"Rare Holo"
15,Venusaur,NULL,0,0,1,0,15,"Base Set","Pokémon - Stage 2",Grass,"Rare Holo"
16,Zapdos,NULL,0,0,1,0,16,"Base Set","Pokémon - Basic",Lightning,"Rare Holo"
17,Beedrill,NULL,0,0,1,0,17,"Base Set","Pokémon - Stage 2",Grass,Rare
