Alakazam,1,Base Set 2,Pokémon - Stage 2,Psychic,Rare Holo
Blastoise,2,Base Set 2,Pokémon - Stage 2,Water,Rare Holo
Chansey,3,Base Set 2,Pokémon - Basic,Colorless,Rare Holo
Charizard,4,Base Set 2,Pokémon - Stage 2,Fire,Rare Holo
Clefable,5,Base Set 2,Pokémon - Stage 1,Colorless,Rare Holo
Clefairy,6,Base Set 2,Pokémon - Basic,Colorless,Rare Holo
Gyarados,7,Base Set 2,Pokémon - Stage 1,Water,Rare Holo
Hitmonchan,8,Base Set 2,Pokémon - Basic,Fighting,Rare Holo
Magneton,9,Base Set 2,Pokémon - Stage 1,Lightning,Rare Holo
Mewtwo,10,Base Set 2,Pokémon - Basic,Psychic,Rare Holo
Nidoking,11,Base Set 2,Pokémon - Stage 2,Grass,Rare Holo
Nidoqueen,12,Base Set 2,Pokémon - Stage 2,Grass,Rare Holo
Ninetales,13,Base Set 2,Pokémon - Stage 1,Fire,Rare Holo
Pidgeot,14,Base Set 2,Pokémon - Stage 2,Colorless,Rare Holo
Poliwrath,15,Base Set 2,Pokémon - Stage 2,Water,Rare Holo
Raichu,16,Base Set 2,Pokémon - Stage 1,Lightning,Rare Holo
Scyther,17,Base Set 2,Pokémon - Basic,Grass,Rare Holo
Venusaur,18,Base Set 2,Pokémon - Stage 2,Grass,Rare Holo
Wigglytuff,19,Base Set 2,Pokémon - Stage 1,Colorless,Rare Holo
Zapdos,20,Base Set 2,Pokémon - Basic,Lightning,Rare Holo
Beedrill,21,Base Set 2,Pokémon - Stage 2,Grass,Rare
Dragonair,22,Base Set 2,Pokémon - Stage 1,Colorless,Rare
Dugtrio,23,Base Set 2,Pokémon - Stage 1,Fighting,Rare
Electabuzz,24,Base Set 2,Pokémon - Basic,Lightning,Rare
Electrode,25,Base Set 2,Pokémon - Stage 1,Lightning,Rare
Kangaskhan,26,Base Set 2,Pokémon - Basic,Colorless,Rare
Mr. Mime,27,Base Set 2,Pokémon - Basic,Psychic,Rare
Pidgeotto,28,Base Set 2,Pokémon - Stage 1,Colorless,Rare
Pinsir,29,Base Set 2,Pokémon - Basic,Grass,Rare
Snorlax,30,Base Set 2,Pokémon - Basic,Colorless,Rare
Venomoth,31,Base Set 2,Pokémon - Stage 1,Grass,Rare
Victreebel,32,Base Set 2,Pokémon - Stage 2,Grass,Rare
Arcanine,33,Base Set 2,Pokémon - Stage 1,Fire,Uncommon
Butterfree,34,Base Set 2,Pokémon - Stage 2,Grass,Uncommon
Charmeleon,35,Base Set 2,Pokémon - Stage 1,Fire,Uncommon
Dewgong,36,Base Set 2,Pokémon - Stage 1,Water,Uncommon
Dodrio,37,Base Set 2,Pokémon - Stage 1,Colorless,Uncommon
Dratini,38,Base Set 2,Pokémon - Basic,Colorless,Uncommon
Exeggutor,39,Base Set 2,Pokémon - Stage 1,Grass,Uncommon
Farfetch'd,40,Base Set 2,Pokémon - Basic,Colorless,Uncommon
Fearow,41,Base Set 2,Pokémon - Stage 1,Colorless,Uncommon
Growlithe,42,Base Set 2,Pokémon - Basic,Fire,Uncommon
Haunter,43,Base Set 2,Pokémon - Stage 1,Psychic,Uncommon
Ivysaur,44,Base Set 2,Pokémon - Stage 1,Grass,Uncommon
Jynx,45,Base Set 2,Pokémon - Basic,Psychic,Uncommon
Kadabra,46,Base Set 2,Pokémon - Stage 1,Psychic,Uncommon
Kakuna,47,Base Set 2,Pokémon - Stage 1,Grass,Uncommon
Lickitung,48,Base Set 2,Pokémon - Basic,Colorless,Uncommon
Machoke,49,Base Set 2,Pokémon - Stage 1,Fighting,Uncommon
Magikarp,50,Base Set 2,Pokémon - Basic,Water,Uncommon
Magmar,51,Base Set 2,Pokémon - Basic,Fire,Uncommon
Marowak,52,Base Set 2,Pokémon - Stage 1,Fighting,Uncommon
Nidorina,53,Base Set 2,Pokémon - Stage 1,Grass,Uncommon
Nidorino,54,Base Set 2,Pokémon - Stage 1,Grass,Uncommon
Parasect,55,Base Set 2,Pokémon - Stage 1,Grass,Uncommon
Persian,56,Base Set 2,Pokémon - Stage 1,Colorless,Uncommon
Poliwhirl,57,Base Set 2,Pokémon - Stage 1,Water,Uncommon
Raticate,58,Base Set 2,Pokémon - Stage 1,Colorless,Uncommon
Rhydon,59,Base Set 2,Pokémon - Stage 1,Fighting,Uncommon
Seaking,60,Base Set 2,Pokémon - Basic,Water,Uncommon
Seel,61,Base Set 2,Pokémon - Basic,Water,Uncommon
Tauros,62,Base Set 2,Pokémon - Basic,Colorless,Uncommon
Wartortle,63,Base Set 2,Pokémon - Stage 1,Water,Uncommon
Weepinbell,64,Base Set 2,Pokémon - Stage 1,Grass,Uncommon
