Snivy,BW01,Black &amp; White Promos,Pokémon - Basic,Grass,Promo
Tepig,BW02,Black &amp; White Promos,Pokémon - Basic,Fire,Promo
Oshawott,BW03,Black &amp; White Promos,Pokémon - Basic,Water,Promo
Reshiram,BW004,Black &amp; White Promos,Pokémon - Basic,Fire,Promo
Zekrom,BW005,Black &amp; White Promos,Pokémon - Basic,Lightning,Promo
Snivy,BW06,Black &amp; White Promos,Pokémon - Basic,Grass,Promo
Tepig,BW07,Black &amp; White Promos,Pokémon - Basic,Fire,Promo
Oshawott,BW08,Black &amp; White Promos,Pokémon - Basic,Water,Promo
Zoroark,BW09,Black &amp; White Promos,Pokémon - Stage 1,Darkness,Promo
Axew,BW10,Black &amp; White Promos,Pokémon - Basic,Colorless,Promo
Pansage,BW11,Black &amp; White Promos,Pokémon - Basic,Grass,Promo
Zorua,BW12,Black &amp; White Promos,Pokémon - Basic,Darkness,Promo
Minccino,BW13,Black &amp; White Promos,Pokémon - Basic,Colorless,Promo
Pansage,BW14,Black &amp; White Promos,Pokémon - Basic,Grass,Promo
Pidove,BW15,Black &amp; White Promos,Pokémon - Basic,Colorless,Promo
Axew,BW16,Black &amp; White Promos,Pokémon - Basic,Colorless,Promo
Ducklett,BW17,Black &amp; White Promos,Pokémon - Basic,Water,Promo
Darumaka,BW18,Black &amp; White Promos,Pokémon - Basic,Fire,Promo
Zoroark,BW19,Black &amp; White Promos,Pokémon - Stage 1,Darkness,Promo
Serperior,BW20,Black &amp; White Promos,Pokémon - Stage 2,Grass,Promo
Emboar,BW21,Black &amp; White Promos,Pokémon - Stage 2,Fire,Promo
Samurott,BW22,Black &amp; White Promos,Pokémon - Stage 2,Water,Promo
Reshiram,BW23,Black &amp; White Promos,Pokémon - Basic,Fire,Promo
Zekrom,BW24,Black &amp; White Promos,Pokémon - Basic,Lightning,Promo
Scraggy,BW25,Black &amp; White Promos,Pokémon - Basic,Darkness,Promo
Axew,BW26,Black &amp; White Promos,Pokémon - Basic,Colorless,Promo
Litwick,BW27,Black &amp; White Promos,Pokémon - Basic,Psychic,Promo
Tropical Beach,BW28,Black &amp; White Promos,Trainer - Stadium,n/a,Promo
Victory Cup 3rd Place,BW29,Black &amp; White Promos,Trainer - Item,n/a,Promo
Victory Cup 2nd Place,BW30,Black &amp; White Promos,Trainer - Item,n/a,Promo
Victory Cup 1st Place,BW31,Black &amp; White Promos,Trainer - Item,n/a,Promo
Victini,BW32,Black &amp; White Promos,Pokémon - Basic,Fire,Promo
