Snivy,1,Black &amp; White,Pokémon - Basic,Grass,Common
Snivy,2,Black &amp; White,Pokémon - Basic,Grass,Common
Servine,3,Black &amp; White,Pokémon - Stage 1,Grass,Uncommon
Servine,4,Black &amp; White,Pokémon - Stage 1,Grass,Uncommon
Serperior,5,Black &amp; White,Pokémon - Stage 2,Grass,Rare Holo
Serperior,6,Black &amp; White,Pokémon - Stage 2,Grass,Rare Holo
Pansage,7,Black &amp; White,Pokémon - Basic,Grass,Common
Simisage,8,Black &amp; White,Pokémon - Stage 1,Grass,Uncommon
Petilil,9,Black &amp; White,Pokémon - Basic,Grass,Common
Lilligant,10,Black &amp; White,Pokémon - Stage 1,Grass,Rare
Maractus,11,Black &amp; White,Pokémon - Basic,Grass,Uncommon
Maractus,12,Black &amp; White,Pokémon - Basic,Grass,Rare
Deerling,13,Black &amp; White,Pokémon - Basic,Grass,Common
Sawsbuck,14,Black &amp; White,Pokémon - Stage 1,Grass,Rare
Tepig,15,Black &amp; White,Pokémon - Basic,Fire,Common
Tepig,16,Black &amp; White,Pokémon - Basic,Fire,Common
Pignite,17,Black &amp; White,Pokémon - Stage 1,Fire,Uncommon
Pignite,18,Black &amp; White,Pokémon - Stage 1,Fire,Uncommon
Emboar,19,Black &amp; White,Pokémon - Stage 2,Fire,Rare Holo
Emboar,20,Black &amp; White,Pokémon - Stage 2,Fire,Rare Holo
Pansear,21,Black &amp; White,Pokémon - Basic,Fire,Common
Simisear,22,Black &amp; White,Pokémon - Stage 1,Fire,Uncommon
Darumaka,23,Black &amp; White,Pokémon - Basic,Fire,Common
Darumaka,24,Black &amp; White,Pokémon - Basic,Fire,Uncommon
Darmanitan,25,Black &amp; White,Pokémon - Stage 1,Fire,Rare
Reshiram,26,Black &amp; White,Pokémon - Basic,Fire,Rare Holo
Oshawott,27,Black &amp; White,Pokémon - Basic,Water,Common
Oshawott,28,Black &amp; White,Pokémon - Basic,Water,Common
Dewott,29,Black &amp; White,Pokémon - Stage 1,Water,Uncommon
Dewott,30,Black &amp; White,Pokémon - Stage 1,Water,Uncommon
Samurott,31,Black &amp; White,Pokémon - Stage 2,Water,Rare Holo
Samurott,32,Black &amp; White,Pokémon - Stage 2,Water,Rare Holo
Panpour,33,Black &amp; White,Pokémon - Basic,Water,Common
Simipour,34,Black &amp; White,Pokémon - Stage 1,Water,Uncommon
Basculin,35,Black &amp; White,Pokémon - Basic,Water,Uncommon
Ducklett,36,Black &amp; White,Pokémon - Basic,Water,Common
Swanna,37,Black &amp; White,Pokémon - Stage 1,Water,Rare
Alomomola,38,Black &amp; White,Pokémon - Basic,Water,Uncommon
Alomomola,39,Black &amp; White,Pokémon - Basic,Water,Rare
Blitzle,40,Black &amp; White,Pokémon - Basic,Lightning,Common
Blitzle,41,Black &amp; White,Pokémon - Basic,Lightning,Common
