Oddish,1,Boundaries Crossed,Pokémon - Basic,Grass,Common
Gloom,2,Boundaries Crossed,Pokémon - Stage 1,Grass,Uncommon
Vileplume,3,Boundaries Crossed,Pokémon - Stage 2,Grass,Rare Holo
Bellossom,4,Boundaries Crossed,Pokémon - Stage 2,Grass,Rare
Tangela,5,Boundaries Crossed,Pokémon - Basic,Grass,Common
Tangrowth,6,Boundaries Crossed,Pokémon - Stage 1,Grass,Rare Holo
Scyther,7,Boundaries Crossed,Pokémon - Basic,Grass,Common
Heracross,8,Boundaries Crossed,Pokémon - Basic,Grass,Uncommon
Celebi-EX,9,Boundaries Crossed,Pokémon - Basic,Grass,Ultra Rare
Shaymin,10,Boundaries Crossed,Pokémon - Basic,Grass,Rare
Snivy,11,Boundaries Crossed,Pokémon - Basic,Grass,Common
Servine,12,Boundaries Crossed,Pokémon - Stage 1,Grass,Uncommon
Serperior,13,Boundaries Crossed,Pokémon - Stage 2,Grass,Rare Holo
Cottonee,14,Boundaries Crossed,Pokémon - Basic,Grass,Common
Whimsicott,15,Boundaries Crossed,Pokémon - Stage 1,Grass,Rare
Petilil,16,Boundaries Crossed,Pokémon - Basic,Grass,Uncommon
Lilligant,17,Boundaries Crossed,Pokémon - Stage 1,Grass,Rare
Charmander,18,Boundaries Crossed,Pokémon - Basic,Fire,Common
Charmeleon,19,Boundaries Crossed,Pokémon - Stage 1,Fire,Uncommon
Charizard,20,Boundaries Crossed,Pokémon - Stage 2,Fire,Rare Holo
Numel,21,Boundaries Crossed,Pokémon - Basic,Fire,Common
Camerupt,22,Boundaries Crossed,Pokémon - Stage 1,Fire,Rare
Victini,23,Boundaries Crossed,Pokémon - Basic,Fire,Rare
Tepig,24,Boundaries Crossed,Pokémon - Basic,Fire,Common
Pignite,25,Boundaries Crossed,Pokémon - Stage 1,Fire,Uncommon
Emboar,26,Boundaries Crossed,Pokémon - Stage 2,Fire,Rare Holo
Darumaka,27,Boundaries Crossed,Pokémon - Basic,Fire,Common
Darmanitan,28,Boundaries Crossed,Pokémon - Stage 1,Fire,Uncommon
Squirtle,29,Boundaries Crossed,Pokémon - Basic,Water,Common
Wartortle,30,Boundaries Crossed,Pokémon - Stage 1,Water,Uncommon
Blastoise,31,Boundaries Crossed,Pokémon - Stage 2,Water,Rare Holo
Psyduck,32,Boundaries Crossed,Pokémon - Basic,Water,Common
