Turtwig,01,Diamond &amp; Pearl Promos,Pokémon - Basic,Grass,Promo
Chimchar,02,Diamond &amp; Pearl Promos,Pokémon - Basic,Fire,Promo
Piplup,03,Diamond &amp; Pearl Promos,Pokémon - Basic,Water,Promo
Pachirisu,04,Diamond &amp; Pearl Promos,Pokémon - Basic,Lightning,Promo
Tropical Wind,05,Diamond &amp; Pearl Promos,Trainer,n/a,Promo
Buneary,06,Diamond &amp; Pearl Promos,Pokémon - Basic,Colorless,Promo
Cranidos,07,Diamond &amp; Pearl Promos,Pokémon - Stage 1,Fighting,Promo
Shieldon,08,Diamond &amp; Pearl Promos,Pokémon - Stage 1,Metal,Promo
Torterra LV.X,09,Diamond &amp; Pearl Promos,Pokémon - Level-Up,Grass,Promo
Infernape LV.X,10,Diamond &amp; Pearl Promos,Pokémon - Level-Up,Fire,Promo
Empoleon LV.X,11,Diamond &amp; Pearl Promos,Pokémon - Level-Up,Water,Promo
Lucario LV.X,12,Diamond &amp; Pearl Promos,Pokémon - Level-Up,Fighting,Promo
Buizel,13,Diamond &amp; Pearl Promos,Pokémon - Basic,Water,Promo
Chatot,14,Diamond &amp; Pearl Promos,Pokémon - Basic,Colorless,Promo
Shinx,15,Diamond &amp; Pearl Promos,Pokémon - Basic,Lightning,Promo
Pikachu,16,Diamond &amp; Pearl Promos,Pokémon - Basic,Lightning,Promo
Dialga LV.X,17,Diamond &amp; Pearl Promos,Pokémon - Level-Up,Metal,Promo
Palkia LV.X,18,Diamond &amp; Pearl Promos,Pokémon - Level-Up,Water,Promo
Darkrai LV.X,19,Diamond &amp; Pearl Promos,Pokémon - Level-Up,Darkness,Promo
Magmortar,20,Diamond &amp; Pearl Promos,Pokémon - Stage 1,Fire,Promo
Raichu,21,Diamond &amp; Pearl Promos,Pokémon - Stage 1,Lightning,Promo
Mime Jr.,22,Diamond &amp; Pearl Promos,Pokémon - Basic,Psychic,Promo
Glameow,23,Diamond &amp; Pearl Promos,Pokémon - Basic,Colorless,Promo
Darkrai,24,Diamond &amp; Pearl Promos,Pokémon - Basic,Darkness,Promo
Tropical Wind,25,Diamond &amp; Pearl Promos,Trainer,n/a,Promo
Dialga,26,Diamond &amp; Pearl Promos,Pokémon - Basic,Metal,Promo
Palkia,27,Diamond &amp; Pearl Promos,Pokémon - Basic,Water,Promo
Mewtwo LV.X,28,Diamond &amp; Pearl Promos,Pokémon - Level-Up,Psychic,Promo
Rhyperior LV.X,29,Diamond &amp; Pearl Promos,Pokémon - Level-Up,Fighting,Promo
Regigigas LV.X,30,Diamond &amp; Pearl Promos,Pokémon - Level-Up,Colorless,Promo
Heatran LV.X,31,Diamond &amp; Pearl Promos,Pokémon - Level-Up,Fire,Promo
Magnezone,32,Diamond &amp; Pearl Promos,Pokémon - Stage 2,Metal,Promo
Dusknoir,33,Diamond &amp; Pearl Promos,Pokémon - Stage 2,Psychic,Promo
Drifblim,34,Diamond &amp; Pearl Promos,Pokémon - Stage 1,Psychic,Promo
Porygon-Z,35,Diamond &amp; Pearl Promos,Pokémon - Stage 2,Colorless,Promo
Gliscor,36,Diamond &amp; Pearl Promos,Pokémon - Stage 1,Fighting,Promo
Dialga LV.X,37,Diamond &amp; Pearl Promos,Pokémon - Level-Up,Metal,Promo
Giratina LV.X,38,Diamond &amp; Pearl Promos,Pokémon - Level-Up,Psychic,Promo
Shaymin LV.X,39,Diamond &amp; Pearl Promos,Pokémon - Level-Up,Grass,Promo
Regigigas,40,Diamond &amp; Pearl Promos,Pokémon - Basic,Colorless,Promo
Toxicroak G,41,Diamond &amp; Pearl Promos,Pokémon - Basic,Fighting,Promo
Carnivine G,42,Diamond &amp; Pearl Promos,Pokémon - Basic,Grass,Promo
Probopass G,43,Diamond &amp; Pearl Promos,Pokémon - Basic,Fighting,Promo
Magnezone,44,Diamond &amp; Pearl Promos,Pokémon - Stage 2,Lightning,Promo
Charizard G LV.X,45,Diamond &amp; Pearl Promos,Pokémon - Level-Up,Fire,Promo
Garchomp C LV.X,46,Diamond &amp; Pearl Promos,Pokémon - Level-Up,Colorless,Promo
Rayquaza C LV.X,47,Diamond &amp; Pearl Promos,Pokémon - Level-Up,Colorless,Promo
Tropical Wind,48,Diamond &amp; Pearl Promos,Trainer,n/a,Promo
Dialga,49,Diamond &amp; Pearl Promos,Pokémon - Basic,Metal,Promo
Arceus,50,Diamond &amp; Pearl Promos,Pokémon - Basic,Colorless,Promo
Cresselia,51,Diamond &amp; Pearl Promos,Pokémon - Basic,Psychic,Promo
Darkrai,52,Diamond &amp; Pearl Promos,Pokémon - Basic,Darkness,Promo
Arceus LV.X,53,Diamond &amp; Pearl Promos,Pokémon - Level-Up,Colorless,Promo
Beginning Door,54,Diamond &amp; Pearl Promos,Trainer,n/a,Promo
Ultimate Zone,55,Diamond &amp; Pearl Promos,Trainer - Stadium,n/a,Promo
