Dialga,1,Diamond &amp; Pearl,Pokémon - Basic,Metal,Rare
Dusknoir,2,Diamond &amp; Pearl,Pokémon - Stage 2,Psychic,Rare
Electivire,3,Diamond &amp; Pearl,Pokémon - Stage 1,Lightning,Rare
Empoleon,4,Diamond &amp; Pearl,Pokémon - Stage 2,Water,Rare
Infernape,5,Diamond &amp; Pearl,Pokémon - Stage 2,Fire,Rare
Lucario,6,Diamond &amp; Pearl,Pokémon - Stage 1,Fighting,Rare
Luxray,7,Diamond &amp; Pearl,Pokémon - Stage 2,Lightning,Rare Holo
Magnezone,8,Diamond &amp; Pearl,Pokémon - Stage 2,Metal,Rare
Manaphy,9,Diamond &amp; Pearl,Pokémon - Basic,Water,Rare
Mismagius,10,Diamond &amp; Pearl,Pokémon - Stage 1,Psychic,Rare
Palkia,11,Diamond &amp; Pearl,Pokémon - Basic,Water,Rare
Rhyperior,12,Diamond &amp; Pearl,Pokémon - Stage 2,Fighting,Rare
Roserade,13,Diamond &amp; Pearl,Pokémon - Stage 1,Grass,Rare
Shiftry,14,Diamond &amp; Pearl,Pokémon - Stage 2,Darkness,Rare
Skuntank,15,Diamond &amp; Pearl,Pokémon - Stage 1,Darkness,Rare
Staraptor,16,Diamond &amp; Pearl,Pokémon - Stage 2,Colorless,Rare
Torterra,17,Diamond &amp; Pearl,Pokémon - Stage 2,Grass,Rare
Azumarill,18,Diamond &amp; Pearl,Pokémon - Stage 1,Water,Rare
Beautifly,19,Diamond &amp; Pearl,Pokémon - Stage 2,Grass,Rare
Bibarel,20,Diamond &amp; Pearl,Pokémon - Stage 1,Colorless,Rare
Carnivine,21,Diamond &amp; Pearl,Pokémon - Basic,Grass,Rare
Clefable,22,Diamond &amp; Pearl,Pokémon - Stage 1,Colorless,Rare
Drapion,23,Diamond &amp; Pearl,Pokémon - Stage 1,Psychic,Rare
Drifblim,24,Diamond &amp; Pearl,Pokémon - Stage 1,Psychic,Rare
Dustox,25,Diamond &amp; Pearl,Pokémon - Stage 2,Grass,Rare
Floatzel,26,Diamond &amp; Pearl,Pokémon - Stage 1,Water,Rare
Gengar,27,Diamond &amp; Pearl,Pokémon - Stage 2,Psychic,Rare
Heracross,28,Diamond &amp; Pearl,Pokémon - Basic,Grass,Rare
Hippowdon,29,Diamond &amp; Pearl,Pokémon - Stage 1,Fighting,Rare
Lopunny,30,Diamond &amp; Pearl,Pokémon - Stage 1,Colorless,Rare
Machamp,31,Diamond &amp; Pearl,Pokémon - Stage 2,Fighting,Rare
Medicham,32,Diamond &amp; Pearl,Pokémon - Stage 1,Fighting,Rare
Munchlax,33,Diamond &amp; Pearl,Pokémon - Basic,Colorless,Rare
Noctowl,34,Diamond &amp; Pearl,Pokémon - Stage 1,Colorless,Rare
Pachirisu,35,Diamond &amp; Pearl,Pokémon - Basic,Lightning,Rare
Purugly,36,Diamond &amp; Pearl,Pokémon - Stage 1,Colorless,Rare
Snorlax,37,Diamond &amp; Pearl,Pokémon - Basic,Colorless,Rare
Steelix,38,Diamond &amp; Pearl,Pokémon - Stage 1,Metal,Rare
Vespiquen,39,Diamond &amp; Pearl,Pokémon - Stage 1,Grass,Rare
Weavile,40,Diamond &amp; Pearl,Pokémon - Stage 1,Darkness,Rare
Wobbuffet,41,Diamond &amp; Pearl,Pokémon - Basic,Psychic,Rare
Wynaut,42,Diamond &amp; Pearl,Pokémon - Basic,Psychic,Rare
Budew,43,Diamond &amp; Pearl,Pokémon - Basic,Grass,Uncommon
Cascoon,44,Diamond &amp; Pearl,Pokémon - Stage 1,Grass,Uncommon
Cherrim,45,Diamond &amp; Pearl,Pokémon - Stage 1,Grass,Uncommon
Drifloon,46,Diamond &amp; Pearl,Pokémon - Basic,Psychic,Uncommon
Dusclops,47,Diamond &amp; Pearl,Pokémon - Stage 1,Psychic,Uncommon
Elekid,48,Diamond &amp; Pearl,Pokémon - Basic,Lightning,Uncommon
Grotle,49,Diamond &amp; Pearl,Pokémon - Stage 1,Grass,Uncommon
Haunter,50,Diamond &amp; Pearl,Pokémon - Stage 1,Psychic,Uncommon
Hippopotas,51,Diamond &amp; Pearl,Pokémon - Basic,Fighting,Uncommon
Luxio,52,Diamond &amp; Pearl,Pokémon - Stage 1,Lightning,Uncommon
Machoke,53,Diamond &amp; Pearl,Pokémon - Stage 1,Fighting,Uncommon
Magneton,54,Diamond &amp; Pearl,Pokémon - Stage 1,Metal,Uncommon
Mantyke,55,Diamond &amp; Pearl,Pokémon - Basic,Water,Uncommon
Monferno,56,Diamond &amp; Pearl,Pokémon - Stage 1,Fire,Uncommon
Nuzleaf,57,Diamond &amp; Pearl,Pokémon - Stage 1,Darkness,Uncommon
Prinplup,58,Diamond &amp; Pearl,Pokémon - Stage 1,Water,Uncommon
Rapidash,59,Diamond &amp; Pearl,Pokémon - Stage 1,Fire,Uncommon
Rhydon,60,Diamond &amp; Pearl,Pokémon - Stage 1,Fighting,Uncommon
Riolu,61,Diamond &amp; Pearl,Pokémon - Basic,Fighting,Uncommon
Seaking,62,Diamond &amp; Pearl,Pokémon - Stage 1,Water,Uncommon
Silcoon,63,Diamond &amp; Pearl,Pokémon - Stage 1,Grass,Uncommon
Staravia,64,Diamond &amp; Pearl,Pokémon - Stage 1,Colorless,Uncommon
Unown A,65,Diamond &amp; Pearl,Pokémon - Basic,Psychic,Uncommon
Unown B,66,Diamond &amp; Pearl,Pokémon - Basic,Psychic,Uncommon
Unown C,67,Diamond &amp; Pearl,Pokémon - Basic,Psychic,Uncommon
Unown D,68,Diamond &amp; Pearl,Pokémon - Basic,Psychic,Uncommon
Azurill,69,Diamond &amp; Pearl,Pokémon - Basic,Colorless,Common
Bidoof,70,Diamond &amp; Pearl,Pokémon - Basic,Colorless,Common
Bonsly,71,Diamond &amp; Pearl,Pokémon - Basic,Fighting,Common
Buizel,72,Diamond &amp; Pearl,Pokémon - Basic,Water,Common
Buneary,73,Diamond &amp; Pearl,Pokémon - Basic,Colorless,Common
Chatot,74,Diamond &amp; Pearl,Pokémon - Basic,Colorless,Common
Cherubi,75,Diamond &amp; Pearl,Pokémon - Basic,Grass,Common
Chimchar,76,Diamond &amp; Pearl,Pokémon - Basic,Fire,Common
Clefairy,77,Diamond &amp; Pearl,Pokémon - Basic,Colorless,Common
Cleffa,78,Diamond &amp; Pearl,Pokémon - Basic,Colorless,Common
Combee,79,Diamond &amp; Pearl,Pokémon - Basic,Grass,Common
Duskull,80,Diamond &amp; Pearl,Pokémon - Basic,Psychic,Common
Electabuzz,81,Diamond &amp; Pearl,Pokémon - Basic,Lightning,Common
Gastly,82,Diamond &amp; Pearl,Pokémon - Basic,Psychic,Common
Glameow,83,Diamond &amp; Pearl,Pokémon - Basic,Colorless,Common
Goldeen,84,Diamond &amp; Pearl,Pokémon - Basic,Water,Common
Hoothoot,85,Diamond &amp; Pearl,Pokémon - Basic,Colorless,Common
Machop,86,Diamond &amp; Pearl,Pokémon - Basic,Fighting,Common
Magnemite,87,Diamond &amp; Pearl,Pokémon - Basic,Metal,Common
Marill,88,Diamond &amp; Pearl,Pokémon - Basic,Water,Common
Meditite,89,Diamond &amp; Pearl,Pokémon - Basic,Fighting,Common
Mime Jr.,90,Diamond &amp; Pearl,Pokémon - Basic,Psychic,Common
Misdreavus,91,Diamond &amp; Pearl,Pokémon - Basic,Psychic,Common
Onix,92,Diamond &amp; Pearl,Pokémon - Basic,Fighting,Common
Piplup,93,Diamond &amp; Pearl,Pokémon - Basic,Water,Common
Ponyta,94,Diamond &amp; Pearl,Pokémon - Basic,Fire,Common
Rhyhorn,95,Diamond &amp; Pearl,Pokémon - Basic,Fighting,Common
Roselia,96,Diamond &amp; Pearl,Pokémon - Basic,Grass,Common
Seedot,97,Diamond &amp; Pearl,Pokémon - Basic,Grass,Common
Shinx,98,Diamond &amp; Pearl,Pokémon - Basic,Lightning,Common
Skorupi,99,Diamond &amp; Pearl,Pokémon - Basic,Psychic,Common
Sneasel,100,Diamond &amp; Pearl,Pokémon - Basic,Darkness,Common
Starly,101,Diamond &amp; Pearl,Pokémon - Basic,Colorless,Common
Stunky,102,Diamond &amp; Pearl,Pokémon - Basic,Darkness,Common
Turtwig,103,Diamond &amp; Pearl,Pokémon - Basic,Grass,Common
Wurmple,104,Diamond &amp; Pearl,Pokémon - Basic,Grass,Common
Double Full Heal,105,Diamond &amp; Pearl,Trainer,n/a,Uncommon
Energy Restore,106,Diamond &amp; Pearl,Trainer,n/a,Uncommon
Energy Switch,107,Diamond &amp; Pearl,Trainer,n/a,Uncommon
Night Pokémon Center,108,Diamond &amp; Pearl,Trainer,n/a,Uncommon
PlusPower,109,Diamond &amp; Pearl,Trainer,n/a,Uncommon
Poké Ball,110,Diamond &amp; Pearl,Trainer,n/a,Uncommon
Pokédex Handy910is,111,Diamond &amp; Pearl,Trainer,n/a,Uncommon
Professor Rowan,112,Diamond &amp; Pearl,Trainer - Supporter,n/a,Uncommon
Rival,113,Diamond &amp; Pearl,Trainer - Supporter,n/a,Uncommon
Speed Stadium,114,Diamond &amp; Pearl,Trainer - Stadium,n/a,Uncommon
Super Scoop Up,115,Diamond &amp; Pearl,Trainer,n/a,Uncommon
Warp Point,116,Diamond &amp; Pearl,Trainer,n/a,Uncommon
Energy Search,117,Diamond &amp; Pearl,Trainer,n/a,Common
Potion,118,Diamond &amp; Pearl,Trainer,n/a,Common
Switch,119,Diamond &amp; Pearl,Trainer,n/a,Common
Empoleon LV.X,120,Diamond &amp; Pearl,Pokémon - Level-Up,Water,Rare Holo
Infernape LV.X,121,Diamond &amp; Pearl,Pokémon - Level-Up,Fire,Rare Holo
Torterra LV.X,122,Diamond &amp; Pearl,Pokémon - Level-Up,Grass,Rare Holo
Grass Energy,123,Diamond &amp; Pearl,Energy - Basic Energy,n/a,Common
Fire Energy,124,Diamond &amp; Pearl,Energy - Basic Energy,n/a,Common
Water Energy,125,Diamond &amp; Pearl,Energy - Basic Energy,n/a,Common
Lightning Energy,126,Diamond &amp; Pearl,Energy - Basic Energy,n/a,Common
Psychic Energy,127,Diamond &amp; Pearl,Energy - Basic Energy,n/a,Common
Fighting Energy,128,Diamond &amp; Pearl,Energy - Basic Energy,n/a,Common
Darkness Energy,129,Diamond &amp; Pearl,Energy - Basic Energy,n/a,Common
