Hoppip,1,Dragons Exalted,Pokémon - Basic,Grass,Common
Skiploom,2,Dragons Exalted,Pokémon - Stage 1,Grass,Uncommon
Jumpluff,3,Dragons Exalted,Pokémon - Stage 2,Grass,Rare
Yanma,4,Dragons Exalted,Pokémon - Basic,Grass,Common
Yanmega,5,Dragons Exalted,Pokémon - Stage 1,Grass,Rare
Wurmple,6,Dragons Exalted,Pokémon - Basic,Grass,Common
Silcoon,7,Dragons Exalted,Pokémon - Stage 1,Grass,Uncommon
Beautifly,8,Dragons Exalted,Pokémon - Stage 2,Grass,Rare
Cascoon,9,Dragons Exalted,Pokémon - Stage 1,Grass,Uncommon
Nincada,10,Dragons Exalted,Pokémon - Basic,Grass,Common
Ninjask,11,Dragons Exalted,Pokémon - Stage 1,Grass,Uncommon
Roselia,12,Dragons Exalted,Pokémon - Basic,Grass,Uncommon
Roselia,13,Dragons Exalted,Pokémon - Basic,Grass,Common
Roserade,14,Dragons Exalted,Pokémon - Stage 1,Grass,Uncommon
Roserade,15,Dragons Exalted,Pokémon - Stage 1,Grass,Rare
Maractus,16,Dragons Exalted,Pokémon - Basic,Grass,Uncommon
Foongus,17,Dragons Exalted,Pokémon - Basic,Grass,Common
Vulpix,18,Dragons Exalted,Pokémon - Basic,Fire,Common
Ninetales,19,Dragons Exalted,Pokémon - Stage 1,Fire,Rare Holo
Magmar,20,Dragons Exalted,Pokémon - Basic,Fire,Common
Magmortar,21,Dragons Exalted,Pokémon - Stage 1,Fire,Rare
Ho-Oh-EX,22,Dragons Exalted,Pokémon - Basic,Fire,Ultra Rare
Magikarp,23,Dragons Exalted,Pokémon - Basic,Water,Common
Gyarados,24,Dragons Exalted,Pokémon - Stage 1,Water,Rare
Wailmer,25,Dragons Exalted,Pokémon - Basic,Water,Uncommon
Wailord,26,Dragons Exalted,Pokémon - Stage 1,Water,Rare Holo
Feebas,27,Dragons Exalted,Pokémon - Basic,Water,Common
Milotic,28,Dragons Exalted,Pokémon - Stage 1,Water,Rare Holo
Spheal,29,Dragons Exalted,Pokémon - Basic,Water,Common
Sealeo,30,Dragons Exalted,Pokémon - Stage 1,Water,Uncommon
Walrein,31,Dragons Exalted,Pokémon - Stage 2,Water,Rare
Buizel,32,Dragons Exalted,Pokémon - Basic,Water,Common
Floatzel,33,Dragons Exalted,Pokémon - Stage 1,Water,Uncommon
Tympole,34,Dragons Exalted,Pokémon - Basic,Water,Common
Palpitoad,35,Dragons Exalted,Pokémon - Stage 1,Water,Uncommon
Seismitoad,36,Dragons Exalted,Pokémon - Stage 2,Water,Rare
Alomomola,37,Dragons Exalted,Pokémon - Basic,Water,Rare
Mareep,38,Dragons Exalted,Pokémon - Basic,Lightning,Common
Flaaffy,39,Dragons Exalted,Pokémon - Stage 1,Lightning,Uncommon
Ampharos,40,Dragons Exalted,Pokémon - Stage 2,Lightning,Rare Holo
Electrike,41,Dragons Exalted,Pokémon - Basic,Lightning,Common
Electrike,42,Dragons Exalted,Pokémon - Basic,Lightning,Common
Manectric,43,Dragons Exalted,Pokémon - Stage 1,Lightning,Rare
Manectric,44,Dragons Exalted,Pokémon - Stage 1,Lightning,null
Emolga,45,Dragons Exalted,Pokémon - Basic,Lightning,Uncommon
Mew-EX,46,Dragons Exalted,Pokémon - Basic,Psychic,Ultra Rare
Dustox,47,Dragons Exalted,Pokémon - Stage 2,Psychic,Rare
Shedinja,48,Dragons Exalted,Pokémon - Stage 1,Psychic,Rare
Drifloon,49,Dragons Exalted,Pokémon - Basic,Psychic,Common
Drifloon,50,Dragons Exalted,Pokémon - Basic,Psychic,Common
Drifblim,51,Dragons Exalted,Pokémon - Stage 1,Psychic,Rare
Sigilyph,52,Dragons Exalted,Pokémon - Basic,Psychic,Rare Holo
Trubbish,53,Dragons Exalted,Pokémon - Basic,Psychic,Common
Garbodor,54,Dragons Exalted,Pokémon - Stage 1,Psychic,Rare Holo
Gothita,55,Dragons Exalted,Pokémon - Basic,Psychic,Common
Gothorita,56,Dragons Exalted,Pokémon - Stage 1,Psychic,Uncommon
Gothitelle,57,Dragons Exalted,Pokémon - Stage 2,Psychic,Rare
Golett,58,Dragons Exalted,Pokémon - Basic,Psychic,Common
Golurk,59,Dragons Exalted,Pokémon - Stage 1,Psychic,Rare Holo
Cubone,60,Dragons Exalted,Pokémon - Basic,Fighting,Common
Marowak,61,Dragons Exalted,Pokémon - Stage 1,Fighting,Rare
Nosepass,62,Dragons Exalted,Pokémon - Basic,Fighting,Common
Baltoy,63,Dragons Exalted,Pokémon - Basic,Fighting,Common
Claydol,64,Dragons Exalted,Pokémon - Stage 1,Fighting,Rare
Roggenrola,65,Dragons Exalted,Pokémon - Basic,Fighting,Common
Boldore,66,Dragons Exalted,Pokémon - Stage 1,Fighting,Uncommon
Gigalith,67,Dragons Exalted,Pokémon - Stage 2,Fighting,Rare Holo
Throh,68,Dragons Exalted,Pokémon - Basic,Fighting,Uncommon
Sawk,69,Dragons Exalted,Pokémon - Basic,Fighting,Uncommon
Stunfisk,70,Dragons Exalted,Pokémon - Basic,Fighting,Uncommon
Terrakion-EX,71,Dragons Exalted,Pokémon - Basic,Fighting,Ultra Rare
Murkrow,72,Dragons Exalted,Pokémon - Basic,Darkness,Common
Honchkrow,73,Dragons Exalted,Pokémon - Stage 1,Darkness,Rare
