n/aWeedle,1,Kalos Starter Set,Pokémon - Basic,Grass,n/a
Pansage,2,Kalos Starter Set,Pokémon - Basic,Grass,n/a
Chespin,3,Kalos Starter Set,Pokémon - Basic,Grass,n/a
Quilladin,4,Kalos Starter Set,Pokémon - Stage 1,Grass,n/a
Chesnaught,5,Kalos Starter Set,Pokémon - Stage 2,Grass,n/a
Slugma,6,Kalos Starter Set,Pokémon - Basic,Fire,n/a
Pansear,7,Kalos Starter Set,Pokémon - Basic,Fire,n/a
Fennekin,8,Kalos Starter Set,Pokémon - Basic,Fire,n/a
Braixen,9,Kalos Starter Set,Pokémon - Stage 1,Fire,n/a
Delphox,10,Kalos Starter Set,Pokémon - Stage 2,Fire,n/a
Panpour,11,Kalos Starter Set,Pokémon - Basic,Water,n/a
Froakie,12,Kalos Starter Set,Pokémon - Basic,Water,n/a
Frogadier,13,Kalos Starter Set,Pokémon - Stage 1,Water,n/a
Greninja,14,Kalos Starter Set,Pokémon - Stage 2,Water,n/a
Clauncher,15,Kalos Starter Set,Pokémon - Basic,Water,n/a
Poochyena,16,Kalos Starter Set,Pokémon - Basic,Darkness,n/a
Mightyena,17,Kalos Starter Set,Pokémon - Stage 1,Darkness,n/a
Inkay,18,Kalos Starter Set,Pokémon - Basic,Darkness,n/a
Pawniard,19,Kalos Starter Set,Pokémon - Basic,Metal,n/a
Bisharp,20,Kalos Starter Set,Pokémon - Stage 1,Metal,n/a
Honedge,21,Kalos Starter Set,Pokémon - Basic,Metal,n/a
Snubbull,22,Kalos Starter Set,Pokémon - Basic,Fairy,n/a
Granbull,23,Kalos Starter Set,Pokémon - Stage 1,Fairy,n/a
Swirlix,24,Kalos Starter Set,Pokémon - Basic,Fairy,n/a
Farfetch'd,25,Kalos Starter Set,Pokémon - Basic,Colorless,n/a
Snorlax,26,Kalos Starter Set,Pokémon - Basic,Colorless,n/a
Miltank,27,Kalos Starter Set,Pokémon - Basic,Colorless,n/a
Skitty,28,Kalos Starter Set,Pokémon - Basic,Colorless,n/a
Bidoof,29,Kalos Starter Set,Pokémon - Basic,Colorless,n/a
Bunnelby,30,Kalos Starter Set,Pokémon - Basic,Colorless,n/a
Fletchling,31,Kalos Starter Set,Pokémon - Basic,Colorless,n/a
Furfrou,32,Kalos Starter Set,Pokémon - Basic,Colorless,n/a
Furfrou,33,Kalos Starter Set,Pokémon - Basic,Colorless,n/a
Crushing Hammer,34,Kalos Starter Set,Trainer - Item,n/a,n/a
Poké Ball,35,Kalos Starter Set,Trainer - Item,n/a,n/a
Pokémon Catcher,36,Kalos Starter Set,Trainer - Item,n/a,n/a
Potion,37,Kalos Starter Set,Trainer - Item,n/a,n/a
Switch,38,Kalos Starter Set,Trainer - Item,n/a,n/a
