Tangela,1,Legendary Treasures,Pokémon - Basic,Grass,Common
Tangrowth,2,Legendary Treasures,Pokémon - Stage 1,Grass,Rare
Shuckle,3,Legendary Treasures,Pokémon - Basic,Grass,Uncommon
Cherubi,4,Legendary Treasures,Pokémon - Basic,Grass,Uncommon
Carnivine,5,Legendary Treasures,Pokémon - Basic,Grass,Uncommon
Snivy,6,Legendary Treasures,Pokémon - Basic,Grass,Common
Servine,7,Legendary Treasures,Pokémon - Stage 1,Grass,Uncommon
Serperior,8,Legendary Treasures,Pokémon - Stage 2,Grass,Rare Holo
Sewaddle,9,Legendary Treasures,Pokémon - Basic,Grass,Common
Sewaddle,10,Legendary Treasures,Pokémon - Basic,Grass,Common
Swadloon,11,Legendary Treasures,Pokémon - Stage 1,Grass,Uncommon
Leavanny,12,Legendary Treasures,Pokémon - Stage 2,Grass,Rare Holo
Dwebble,13,Legendary Treasures,Pokémon - Basic,Grass,Common
Crustle,14,Legendary Treasures,Pokémon - Stage 1,Grass,Uncommon
Virizion,15,Legendary Treasures,Pokémon - Basic,Grass,Rare Holo
Genesect,16,Legendary Treasures,Pokémon - Basic,Grass,Rare Holo
Charmander,17,Legendary Treasures,Pokémon - Basic,Fire,Common
Charmeleon,18,Legendary Treasures,Pokémon - Stage 1,Fire,Uncommon
Charizard,19,Legendary Treasures,Pokémon - Stage 2,Fire,Rare Holo
Vulpix,20,Legendary Treasures,Pokémon - Basic,Fire,Common
Ninetales,21,Legendary Treasures,Pokémon - Stage 1,Fire,Rare
Moltres,22,Legendary Treasures,Pokémon - Basic,Fire,Rare Holo
Victini,23,Legendary Treasures,Pokémon - Basic,Fire,Rare Holo
Victini-EX,24,Legendary Treasures,Pokémon - Basic,Fire,Ultra Rare
Tepig,25,Legendary Treasures,Pokémon - Basic,Fire,Common
Pignite,26,Legendary Treasures,Pokémon - Stage 1,Fire,Uncommon
Emboar,27,Legendary Treasures,Pokémon - Stage 2,Fire,Rare Holo
Reshiram,28,Legendary Treasures,Pokémon - Basic,Fire,Rare Holo
Reshiram-EX,29,Legendary Treasures,Pokémon - Basic,Fire,Ultra Rare
Magikarp,30,Legendary Treasures,Pokémon - Basic,Water,Common
Gyarados,31,Legendary Treasures,Pokémon - Stage 1,Water,Rare
Articuno,32,Legendary Treasures,Pokémon - Basic,Water,Rare Holo
Piplup,33,Legendary Treasures,Pokémon - Basic,Water,Common
Prinplup,34,Legendary Treasures,Pokémon - Stage 1,Water,Uncommon
Empoleon,35,Legendary Treasures,Pokémon - Stage 2,Water,Rare
Phione,36,Legendary Treasures,Pokémon - Basic,Water,Rare
Oshawott,37,Legendary Treasures,Pokémon - Basic,Water,Common
Dewott,38,Legendary Treasures,Pokémon - Stage 1,Water,Uncommon
Samurott,39,Legendary Treasures,Pokémon - Stage 2,Water,Rare Holo
Tympole,40,Legendary Treasures,Pokémon - Basic,Water,Common
Palpitoad,41,Legendary Treasures,Pokémon - Stage 1,Water,Uncommon
Seismitoad,42,Legendary Treasures,Pokémon - Stage 2,Water,Rare
Kyurem,43,Legendary Treasures,Pokémon - Basic,Water,Rare Holo
Kyurem-EX,44,Legendary Treasures,Pokémon - Basic,Water,Ultra Rare
Keldeo-EX,45,Legendary Treasures,Pokémon - Basic,Water,Ultra Rare
Zapdos,46,Legendary Treasures,Pokémon - Basic,Lightning,Rare Holo
Plusle,47,Legendary Treasures,Pokémon - Basic,Lightning,Uncommon
Minun,48,Legendary Treasures,Pokémon - Basic,Lightning,Uncommon
Emolga,49,Legendary Treasures,Pokémon - Basic,Lightning,Uncommon
Thundurus,50,Legendary Treasures,Pokémon - Basic,Lightning,Rare Holo
Zekrom,51,Legendary Treasures,Pokémon - Basic,Lightning,Rare Holo
Zekrom-EX,52,Legendary Treasures,Pokémon - Basic,Lightning,Ultra Rare
Mewtwo,53,Legendary Treasures,Pokémon - Basic,Psychic,Rare Holo
Mewtwo-EX,54,Legendary Treasures,Pokémon - Basic,Psychic,Ultra Rare
Natu,55,Legendary Treasures,Pokémon - Basic,Psychic,Common
Xatu,56,Legendary Treasures,Pokémon - Stage 1,Psychic,Rare
Misdreavus,57,Legendary Treasures,Pokémon - Basic,Psychic,Common
Mismagius,58,Legendary Treasures,Pokémon - Stage 1,Psychic,Rare
Ralts,59,Legendary Treasures,Pokémon - Basic,Psychic,Common
Kirlia,60,Legendary Treasures,Pokémon - Stage 1,Psychic,Uncommon
Sableye,61,Legendary Treasures,Pokémon - Basic,Psychic,Uncommon
Croagunk,62,Legendary Treasures,Pokémon - Basic,Psychic,Common
Toxicroak,63,Legendary Treasures,Pokémon - Stage 1,Psychic,Rare
Woobat,64,Legendary Treasures,Pokémon - Basic,Psychic,Common
Swoobat,65,Legendary Treasures,Pokémon - Stage 1,Psychic,Uncommon
Sigilyph,66,Legendary Treasures,Pokémon - Basic,Psychic,Rare Holo
Trubbish,67,Legendary Treasures,Pokémon - Basic,Psychic,Common
Garbodor,68,Legendary Treasures,Pokémon - Stage 1,Psychic,Rare Holo
Gothita,69,Legendary Treasures,Pokémon - Basic,Psychic,Common
Gothita,70,Legendary Treasures,Pokémon - Basic,Psychic,Common
Gothorita,71,Legendary Treasures,Pokémon - Stage 1,Psychic,Uncommon
Gothitelle,72,Legendary Treasures,Pokémon - Stage 2,Psychic,Rare Holo
Solosis,73,Legendary Treasures,Pokémon - Basic,Psychic,Common
Solosis,74,Legendary Treasures,Pokémon - Basic,Psychic,Common
Duosion,75,Legendary Treasures,Pokémon - Stage 1,Psychic,Uncommon
Reuniclus,76,Legendary Treasures,Pokémon - Stage 2,Psychic,Rare
Chandelure-EX,77,Legendary Treasures,Pokémon - Basic,Psychic,Rare Holo
Meloetta,78,Legendary Treasures,Pokémon - Basic,Psychic,Rare Holo
Riolu,79,Legendary Treasures,Pokémon - Basic,Fighting,Uncommon
Lucario,80,Legendary Treasures,Pokémon - Stage 1,Fighting,Rare Holo
Gallade,81,Legendary Treasures,Pokémon - Stage 2,Fighting,Rare
Excadrill-EX,82,Legendary Treasures,Pokémon - Basic,Fighting,Ultra Rare
Stunfisk,83,Legendary Treasures,Pokémon - Basic,Fighting,Uncommon
Terrakion,84,Legendary Treasures,Pokémon - Basic,Fighting,Rare Holo
Landorus,85,Legendary Treasures,Pokémon - Basic,Fighting,Rare Holo
Meloetta,86,Legendary Treasures,Pokémon - Basic,Fighting,Rare
Spiritomb,87,Legendary Treasures,Pokémon - Basic,Darkness,Uncommon
Darkrai-EX,88,Legendary Treasures,Pokémon - Basic,Darkness,Ultra Rare
Zorua,89,Legendary Treasures,Pokémon - Basic,Darkness,Common
Zoroark,90,Legendary Treasures,Pokémon - Stage 1,Darkness,Rare Holo
Cobalion,91,Legendary Treasures,Pokémon - Basic,Metal,Rare Holo
Altaria,92,Legendary Treasures,Pokémon - Stage 1,Dragon,Rare
Rayquaza,93,Legendary Treasures,Pokémon - Basic,Dragon,Rare Holo
Gible,94,Legendary Treasures,Pokémon - Basic,Dragon,Common
Gabite,95,Legendary Treasures,Pokémon - Stage 1,Dragon,Uncommon
Garchomp,96,Legendary Treasures,Pokémon - Stage 2,Dragon,Rare Holo
Deino,97,Legendary Treasures,Pokémon - Basic,Dragon,Common
Zweilous,98,Legendary Treasures,Pokémon - Stage 1,Dragon,Uncommon
Hydreigon,99,Legendary Treasures,Pokémon - Stage 2,Dragon,Rare Holo
Black Kyurem-EX,100,Legendary Treasures,Pokémon - Basic,Dragon,Ultra Rare
White Kyurem-EX,101,Legendary Treasures,Pokémon - Basic,Dragon,Ultra Rare
Lugia-EX,102,Legendary Treasures,Pokémon - Basic,Colorless,Ultra Rare
Swablu,103,Legendary Treasures,Pokémon - Basic,Colorless,Common
Minccino,104,Legendary Treasures,Pokémon - Basic,Colorless,Common
Cinccino,105,Legendary Treasures,Pokémon - Stage 1,Colorless,Rare Holo
Druddigon,106,Legendary Treasures,Pokémon - Basic,Colorless,Uncommon
Bouffalant,107,Legendary Treasures,Pokémon - Basic,Colorless,Uncommon
