Deoxys Normal Forme,1,Legends Awakened,Pokémon - Basic,Psychic,Rare
Dragonite,2,Legends Awakened,Pokémon - Stage 2,Colorless,Rare
Froslass,3,Legends Awakened,Pokémon - Stage 1,Water,Rare
Giratina,4,Legends Awakened,Pokémon - Basic,Psychic,Rare
Gliscor,5,Legends Awakened,Pokémon - Stage 1,Fighting,Rare
Heatran,6,Legends Awakened,Pokémon - Basic,Fire,Rare
Kingdra,7,Legends Awakened,Pokémon - Stage 2,Water,Rare
Luxray,8,Legends Awakened,Pokémon - Stage 2,Lightning,Rare
Mamoswine,9,Legends Awakened,Pokémon - Stage 2,Water,Rare
Metagross,10,Legends Awakened,Pokémon - Stage 2,Metal,Rare
Mewtwo,11,Legends Awakened,Pokémon - Basic,Psychic,Rare
Politoed,12,Legends Awakened,Pokémon - Stage 2,Water,Rare
Probopass,13,Legends Awakened,Pokémon - Stage 1,Fighting,Rare
Rayquaza,14,Legends Awakened,Pokémon - Basic,Colorless,Rare
Regigigas,15,Legends Awakened,Pokémon - Basic,Colorless,Rare
Spiritomb,16,Legends Awakened,Pokémon - Basic,Psychic,Rare
Yanmega,17,Legends Awakened,Pokémon - Stage 1,Grass,Rare
Armaldo,18,Legends Awakened,Pokémon - Stage 2,Fighting,Rare
Azelf,19,Legends Awakened,Pokémon - Basic,Psychic,Rare
Bellossom,20,Legends Awakened,Pokémon - Stage 2,Grass,Rare
Cradily,21,Legends Awakened,Pokémon - Stage 2,Grass,Rare
Crawdaunt,22,Legends Awakened,Pokémon - Stage 1,Water,Rare
Delcatty,23,Legends Awakened,Pokémon - Stage 1,Colorless,Rare
Deoxys Attack Forme,24,Legends Awakened,Pokémon - Basic,Psychic,Rare
Deoxys Defense Forme,25,Legends Awakened,Pokémon - Basic,Psychic,Rare
Deoxys Speed Forme,26,Legends Awakened,Pokémon - Basic,Psychic,Rare
Ditto,27,Legends Awakened,Pokémon - Basic,Colorless,Rare
Forretress,28,Legends Awakened,Pokémon - Stage 1,Metal,Rare
Groudon,29,Legends Awakened,Pokémon - Basic,Fighting,Rare
Heatran,30,Legends Awakened,Pokémon - Basic,Metal,Rare
Jirachi,31,Legends Awakened,Pokémon - Basic,Metal,Rare
Kyogre,32,Legends Awakened,Pokémon - Basic,Water,Rare
Lopunny,33,Legends Awakened,Pokémon - Stage 1,Colorless,Rare
Mesprit,34,Legends Awakened,Pokémon - ,Psychic,Rare
Poliwrath,35,Legends Awakened,Pokémon - Stage 2,Water,Rare
Regice,36,Legends Awakened,Pokémon - Basic,Water,Rare
Regigigas,37,Legends Awakened,Pokémon - Basic,Colorless,Rare
Regirock,38,Legends Awakened,Pokémon - Basic,Fighting,Rare
Registeel,39,Legends Awakened,Pokémon - Basic,Metal,Rare
Shedinja,40,Legends Awakened,Pokémon - Stage 1,Grass,Rare
Torkoal,41,Legends Awakened,Pokémon - Basic,Fire,Rare
Unown !,42,Legends Awakened,Pokémon - Basic,Psychic,Rare
Uxie,43,Legends Awakened,Pokémon - Basic,Psychic,Rare
Victreebel,44,Legends Awakened,Pokémon - Stage 2,Grass,Rare
Vileplume,45,Legends Awakened,Pokémon - Stage 2,Grass,Rare
Anorith,46,Legends Awakened,Pokémon - Stage 1,Fighting,Uncommon
Camerupt,47,Legends Awakened,Pokémon - Stage 1,Fire,Uncommon
Castform,48,Legends Awakened,Pokémon - Basic,Colorless,Uncommon
Castform Rain Form,49,Legends Awakened,Pokémon - Basic,Water,Uncommon
Castform Snow-Cloud Form,50,Legends Awakened,Pokémon - Basic,Water,Uncommon
Castform Sunny Form,51,Legends Awakened,Pokémon - Basic,Fire,Uncommon
Dragonair,52,Legends Awakened,Pokémon - Stage 1,Colorless,Uncommon
Drifblim,53,Legends Awakened,Pokémon - Stage 1,Psychic,Uncommon
Exeggutor,54,Legends Awakened,Pokémon - Stage 1,Psychic,Uncommon
Gliscor,55,Legends Awakened,Pokémon - Stage 1,Fighting,Uncommon
Grumpig,56,Legends Awakened,Pokémon - Stage 1,Psychic,Uncommon
Houndoom,57,Legends Awakened,Pokémon - Stage 1,Fire,Uncommon
Lanturn,58,Legends Awakened,Pokémon - Stage 1,Water,Uncommon
Lanturn,59,Legends Awakened,Pokémon - Stage 1,Lightning,Uncommon
