Articuno,1,Majestic Dawn,Pokémon - Basic,Water,Rare Holo
Cresselia,2,Majestic Dawn,Pokémon - Basic,Psychic,Rare Holo
Darkrai,3,Majestic Dawn,Pokémon - Basic,Darkness,Rare Holo
Dialga,4,Majestic Dawn,Pokémon - Basic,Metal,Rare Holo
Glaceon,5,Majestic Dawn,Pokémon - Stage 1,Water,Rare Holo
Kabutops,6,Majestic Dawn,Pokémon - Stage 2,Fighting,Rare Holo
Leafeon,7,Majestic Dawn,Pokémon - Stage 1,Grass,Rare Holo
Manaphy,8,Majestic Dawn,Pokémon - Basic,Water,Rare Holo
Mewtwo,9,Majestic Dawn,Pokémon - Basic,Psychic,Rare Holo
Moltres,10,Majestic Dawn,Pokémon - Basic,Fire,Rare Holo
Palkia,11,Majestic Dawn,Pokémon - Basic,Water,Rare Holo
Phione,12,Majestic Dawn,Pokémon - Basic,Water,Rare Holo
Rotom,13,Majestic Dawn,Pokémon - Basic,Lightning,Rare Holo
Zapdos,14,Majestic Dawn,Pokémon - Basic,Lightning,Rare Holo
Aerodactyl,15,Majestic Dawn,Pokémon - Stage 1,Colorless,Rare
Bronzong,16,Majestic Dawn,Pokémon - Stage 1,Psychic,Rare
Empoleon,17,Majestic Dawn,Pokémon - Stage 2,Water,Rare
Espeon,18,Majestic Dawn,Pokémon - Stage 1,Psychic,Rare
Flareon,19,Majestic Dawn,Pokémon - Stage 1,Fire,Rare
Glaceon,20,Majestic Dawn,Pokémon - Stage 1,Water,Rare
Hippowdon,21,Majestic Dawn,Pokémon - Stage 1,Fighting,Rare
Infernape,22,Majestic Dawn,Pokémon - Stage 2,Fire,Rare
Jolteon,23,Majestic Dawn,Pokémon - Stage 1,Lightning,Rare
Leafeon,24,Majestic Dawn,Pokémon - Stage 1,Grass,Rare
Minun,25,Majestic Dawn,Pokémon - Basic,Lightning,Rare
Omastar,26,Majestic Dawn,Pokémon - Stage 2,Water,Rare
Phione,27,Majestic Dawn,Pokémon - Basic,Water,Rare
Plusle,28,Majestic Dawn,Pokémon - Basic,Lightning,Rare
Scizor,29,Majestic Dawn,Pokémon - Stage 1,Metal,Rare
Torterra,30,Majestic Dawn,Pokémon - Stage 2,Grass,Rare
Toxicroak,31,Majestic Dawn,Pokémon - Stage 1,Psychic,Rare
Umbreon,32,Majestic Dawn,Pokémon - Stage 1,Darkness,Rare
Unown P,33,Majestic Dawn,Pokémon - Basic,Psychic,Rare
Vaporeon,34,Majestic Dawn,Pokémon - Stage 1,Water,Rare
Ambipom,35,Majestic Dawn,Pokémon - Stage 1,Colorless,Uncommon
Fearow,36,Majestic Dawn,Pokémon - Stage 1,Colorless,Uncommon
Grotle,37,Majestic Dawn,Pokémon - Stage 1,Grass,Uncommon
Kangaskhan,38,Majestic Dawn,Pokémon - Basic,Colorless,Uncommon
Lickitung,39,Majestic Dawn,Pokémon - Basic,Colorless,Uncommon
Manectric,40,Majestic Dawn,Pokémon - Stage 1,Lightning,Uncommon
Monferno,41,Majestic Dawn,Pokémon - Stage 1,Fire,Uncommon
