Aggron,1,Mysterious Treasures,Pokémon - Stage 2,Metal,Rare Holo
Alakazam,2,Mysterious Treasures,Pokémon - Stage 2,Psychic,Rare Holo
Ambipom,3,Mysterious Treasures,Pokémon - Stage 1,Colorless,Rare Holo
Azelf,4,Mysterious Treasures,Pokémon - Basic,Psychic,Rare Holo
Blissey,5,Mysterious Treasures,Pokémon - Stage 1,Colorless,Rare Holo
Bronzong,6,Mysterious Treasures,Pokémon - Stage 1,Metal,Rare Holo
Celebi,7,Mysterious Treasures,Pokémon - Basic,Grass,Rare Holo
Feraligatr,8,Mysterious Treasures,Pokémon - Stage 2,Water,Rare Holo
Garchomp,9,Mysterious Treasures,Pokémon - Stage 2,Colorless,Rare Holo
Honchkrow,10,Mysterious Treasures,Pokémon - Stage 1,Darkness,Rare Holo
Lumineon,11,Mysterious Treasures,Pokémon - Stage 1,Water,Rare Holo
Magmortar,12,Mysterious Treasures,Pokémon - Stage 1,Fire,Rare Holo
Meganium,13,Mysterious Treasures,Pokémon - Stage 2,Grass,Rare Holo
Mesprit,14,Mysterious Treasures,Pokémon - Basic,Psychic,Rare Holo
Raichu,15,Mysterious Treasures,Pokémon - Stage 1,Lightning,Rare Holo
Typhlosion,16,Mysterious Treasures,Pokémon - Stage 2,Fire,Rare Holo
Tyranitar,17,Mysterious Treasures,Pokémon - Stage 2,Darkness,Rare Holo
Uxie,18,Mysterious Treasures,Pokémon - Basic,Psychic,Rare Holo
Abomasnow,19,Mysterious Treasures,Pokémon - Stage 1,Grass,Rare
Ariados,20,Mysterious Treasures,Pokémon - Stage 1,Grass,Rare
Bastiodon,21,Mysterious Treasures,Pokémon - Stage 2,Metal,Rare
Chimecho,22,Mysterious Treasures,Pokémon - Basic,Psychic,Rare
Crobat,23,Mysterious Treasures,Pokémon - Stage 2,Psychic,Rare
Exeggutor,24,Mysterious Treasures,Pokémon - Stage 1,Grass,Rare
Glalie,25,Mysterious Treasures,Pokémon - Stage 1,Water,Rare
Gyarados,26,Mysterious Treasures,Pokémon - Stage 1,Water,Rare
Kricketune,27,Mysterious Treasures,Pokémon - Stage 1,Grass,Rare
Manectric,28,Mysterious Treasures,Pokémon - Stage 1,Lightning,Rare
Mantine,29,Mysterious Treasures,Pokémon - Basic,Water,Rare
Mr. Mime,30,Mysterious Treasures,Pokémon - Basic,Psychic,Rare
Nidoqueen,31,Mysterious Treasures,Pokémon - Stage 2,Psychic,Rare
Ninetales,32,Mysterious Treasures,Pokémon - Stage 1,Fire,Rare
Rampardos,33,Mysterious Treasures,Pokémon - Stage 2,Fighting,Rare
Slaking,34,Mysterious Treasures,Pokémon - Stage 2,Colorless,Rare
Sudowoodo,35,Mysterious Treasures,Pokémon - Basic,Fighting,Rare
Toxicroak,36,Mysterious Treasures,Pokémon - Stage 1,Psychic,Rare
Unown I,37,Mysterious Treasures,Pokémon - Basic,Psychic,Rare
Ursaring,38,Mysterious Treasures,Pokémon - Stage 1,Colorless,Rare
Walrein,39,Mysterious Treasures,Pokémon - Stage 2,Water,Rare
Whiscash,40,Mysterious Treasures,Pokémon - Stage 1,Water,Rare
Bayleef,41,Mysterious Treasures,Pokémon - Stage 1,Grass,Uncommon
Chingling,42,Mysterious Treasures,Pokémon - Basic,Psychic,Uncommon
Cranidos,43,Mysterious Treasures,Pokémon - Stage 1,Fighting,Uncommon
Croconaw,44,Mysterious Treasures,Pokémon - Stage 1,Water,Uncommon
Dewgong,45,Mysterious Treasures,Pokémon - Stage 1,Water,Uncommon
Dodrio,46,Mysterious Treasures,Pokémon - Stage 1,Colorless,Uncommon
Dunsparce,47,Mysterious Treasures,Pokémon - Basic,Colorless,Uncommon
Gabite,48,Mysterious Treasures,Pokémon - Stage 1,Colorless,Uncommon
Girafarig,49,Mysterious Treasures,Pokémon - Basic,Colorless,Uncommon
Golbat,50,Mysterious Treasures,Pokémon - Stage 1,Psychic,Uncommon
Graveler,51,Mysterious Treasures,Pokémon - Stage 1,Fighting,Uncommon
Happiny,52,Mysterious Treasures,Pokémon - Basic,Colorless,Uncommon
Lairon,53,Mysterious Treasures,Pokémon - Stage 1,Metal,Uncommon
Magmar,54,Mysterious Treasures,Pokémon - Basic,Fire,Uncommon
Masquerain,55,Mysterious Treasures,Pokémon - Stage 1,Grass,Uncommon
Nidorina,56,Mysterious Treasures,Pokémon - Stage 1,Psychic,Uncommon
Octillery,57,Mysterious Treasures,Pokémon - Stage 1,Water,Uncommon
Parasect,58,Mysterious Treasures,Pokémon - Stage 1,Grass,Uncommon
Pupitar,59,Mysterious Treasures,Pokémon - Stage 1,Fighting,Uncommon
Quilava,60,Mysterious Treasures,Pokémon - Stage 1,Fire,Uncommon
Sandslash,61,Mysterious Treasures,Pokémon - Stage 1,Fighting,Uncommon
Sealeo,62,Mysterious Treasures,Pokémon - Stage 1,Water,Uncommon
Shieldon,63,Mysterious Treasures,Pokémon - Stage 1,Metal,Uncommon
Tropius,64,Mysterious Treasures,Pokémon - Basic,Grass,Uncommon
Unown E,65,Mysterious Treasures,Pokémon - Basic,Psychic,Uncommon
Unown M,66,Mysterious Treasures,Pokémon - Basic,Psychic,Uncommon
Unown T,67,Mysterious Treasures,Pokémon - Basic,Psychic,Uncommon
Vigoroth,68,Mysterious Treasures,Pokémon - Stage 1,Colorless,Uncommon
Abra,69,Mysterious Treasures,Pokémon - Basic,Psychic,Common
Aipom,70,Mysterious Treasures,Pokémon - Basic,Colorless,Common
Aron,71,Mysterious Treasures,Pokémon - Basic,Metal,Common
Barboach,72,Mysterious Treasures,Pokémon - Basic,Water,Common
Bidoof,73,Mysterious Treasures,Pokémon - Basic,Colorless,Common
Bronzor,74,Mysterious Treasures,Pokémon - Basic,n/a,Common
Buizel,75,Mysterious Treasures,Pokémon - Basic,Water,Common
Chansey,76,Mysterious Treasures,Pokémon - Basic,Colorless,Common
Chikorita,77,Mysterious Treasures,Pokémon - Basic,Grass,Common
Croagunk,78,Mysterious Treasures,Pokémon - Basic,Psychic,Common
Cyndaquil,79,Mysterious Treasures,Pokémon - Basic,Fire,Common
Doduo,80,Mysterious Treasures,Pokémon - Basic,Colorless,Common
Electrike,81,Mysterious Treasures,Pokémon - Basic,Lightning,Common
Exeggcute,82,Mysterious Treasures,Pokémon - Basic,Grass,Common
Finneon,83,Mysterious Treasures,Pokémon - Basic,Water,Common
Geodude,84,Mysterious Treasures,Pokémon - Basic,Fighting,Common
Gible,85,Mysterious Treasures,Pokémon - Basic,Colorless,Common
Kricketot,86,Mysterious Treasures,Pokémon - Basic,Grass,Common
Larvitar,87,Mysterious Treasures,Pokémon - Basic,Fighting,Common
Magby,88,Mysterious Treasures,Pokémon - Basic,Fire,Common
