Dark Ampharos,1,Neo Destiny,Pokémon - Stage 2,Lightning,Rare Holo
Dark Crobat,2,Neo Destiny,Pokémon - Stage 2,Grass,Rare Holo
Dark Donphan,3,Neo Destiny,Pokémon - Stage 1,Fighting,Rare Holo
Dark Espeon,4,Neo Destiny,Pokémon - Stage 1,Psychic,Rare Holo
Dark Feraligatr,5,Neo Destiny,Pokémon - Stage 2,Water,Rare Holo
Dark Gengar,6,Neo Destiny,Pokémon - Stage 1,Psychic,Rare Holo
Dark Houndoom,7,Neo Destiny,Pokémon - Stage 1,Fire,Rare Holo
Dark Porygon2,8,Neo Destiny,Pokémon - Stage 1,Colorless,Rare Holo
Dark Scizor,9,Neo Destiny,Pokémon - Stage 1,Metal,Rare Holo
Dark Typhlosion,10,Neo Destiny,Pokémon - Stage 2,Fire,Rare Holo
Dark Tyranitar,11,Neo Destiny,Pokémon - Stage 2,Fighting,Rare Holo
Light Arcanine,12,Neo Destiny,Pokémon - Stage 1,Fire,Rare Holo
Light Azumarill,13,Neo Destiny,Pokémon - Stage 1,Water,Rare Holo
Light Dragonite,14,Neo Destiny,Pokémon - Stage 2,Colorless,Rare Holo
Light Togetic,15,Neo Destiny,Pokémon - Stage 1,Colorless,Rare Holo
Miracle Energy,16,Neo Destiny,Energy - Special Energy,n/a,Rare Holo
Dark Ariados,17,Neo Destiny,Pokémon - Stage 1,Grass,Rare
Dark Magcargo,18,Neo Destiny,Pokémon - Stage 1,Fire,Rare
Dark Omastar,19,Neo Destiny,Pokémon - Basic,Water,Rare
Dark Slowking,20,Neo Destiny,Pokémon - Stage 1,Psychic,Rare
Dark Ursaring,21,Neo Destiny,Pokémon - Stage 1,Colorless,Rare
Light Dragonair,22,Neo Destiny,Pokémon - Stage 1,Colorless,Rare
Light Lanturn,23,Neo Destiny,Pokémon - Stage 1,Lightning,Rare
Light Ledian,24,Neo Destiny,Pokémon - Stage 1,Grass,Rare
Light Machamp,25,Neo Destiny,Pokémon - Stage 2,Fighting,Rare
Light Piloswine,26,Neo Destiny,Pokémon - Stage 1,Water,Rare
Unown G,27,Neo Destiny,Pokémon - Basic,Psychic,Rare
Unown H,28,Neo Destiny,Pokémon - Basic,Psychic,Rare
Unown W,29,Neo Destiny,Pokémon - Basic,Psychic,Rare
Unown X,30,Neo Destiny,Pokémon - Basic,Psychic,Rare
Chansey,31,Neo Destiny,Pokémon - Basic,Colorless,Uncommon
Dark Croconaw,32,Neo Destiny,Pokémon - Stage 1,Water,Uncommon
Dark Exeggutor,33,Neo Destiny,Pokémon - Stage 1,Psychic,Uncommon
Dark Flaaffy,34,Neo Destiny,Pokémon - Stage 1,Lightning,Uncommon
Dark Forretress,35,Neo Destiny,Pokémon - Stage 1,Grass,Uncommon
Dark Haunter,36,Neo Destiny,Pokémon - Stage 1,Psychic,Uncommon
Dark Omanyte,37,Neo Destiny,Pokémon - Stage 1,Water,Uncommon
Dark Pupitar,38,Neo Destiny,Pokémon - Stage 1,Fighting,Uncommon
Dark Quilava,39,Neo Destiny,Pokémon - Stage 1,Fire,Uncommon
Dark Wigglytuff,40,Neo Destiny,Pokémon - Stage 1,Colorless,Uncommon
Heracross,41,Neo Destiny,Pokémon - Basic,Grass,Uncommon
Hitmonlee,42,Neo Destiny,Pokémon - Basic,Fighting,Uncommon
Houndour,43,Neo Destiny,Pokémon - Basic,Darkness,Uncommon
Jigglypuff,44,Neo Destiny,Pokémon - Basic,Colorless,Uncommon
Light Dewgong,45,Neo Destiny,Pokémon - Stage 1,Water,Uncommon
Light Flareon,46,Neo Destiny,Pokémon - Stage 1,Fire,Uncommon
Light Golduck,47,Neo Destiny,Pokémon - Stage 1,Water,Uncommon
Light Jolteon,48,Neo Destiny,Pokémon - Stage 1,Lightning,Uncommon
Light Machoke,49,Neo Destiny,Pokémon - Stage 1,Fighting,Uncommon
Light Ninetales,50,Neo Destiny,Pokémon - Stage 1,Fire,Uncommon
Light Slowbro,51,Neo Destiny,Pokémon - Stage 1,Psychic,Uncommon
Light Vaporeon,52,Neo Destiny,Pokémon - Stage 1,Water,Uncommon
Light Venomoth,53,Neo Destiny,Pokémon - Stage 1,Grass,Uncommon
Light Wigglytuff,54,Neo Destiny,Pokémon - Stage 1,Colorless,Uncommon
Scyther,55,Neo Destiny,Pokémon - Basic,Grass,Uncommon
Togepi,56,Neo Destiny,Pokémon - Basic,Colorless,Uncommon
Unown C,57,Neo Destiny,Pokémon - Basic,Psychic,Uncommon
Unown P,58,Neo Destiny,Pokémon - Basic,Psychic,Uncommon
Unown Q,59,Neo Destiny,Pokémon - Basic,Psychic,Uncommon
Unown Z,60,Neo Destiny,Pokémon - Basic,Psychic,Uncommon
Cyndaquil,61,Neo Destiny,Pokémon - Basic,Fire,Common
Dark Octillery,62,Neo Destiny,Pokémon - Stage 1,Water,Common
