Espeon,1,Neo Discovery,Pokémon - Stage 1,Psychic,Rare Holo
Forretress,2,Neo Discovery,Pokémon - Stage 1,Metal,Rare Holo
Hitmontop,3,Neo Discovery,Pokémon - Basic,Fighting,Rare Holo
Houndoom,4,Neo Discovery,Pokémon - Stage 1,Darkness,Rare Holo
Houndour,5,Neo Discovery,Pokémon - Basic,Water,Rare Holo
Kabutops,6,Neo Discovery,Pokémon - Stage 2,Water,Rare Holo
Magnemite,7,Neo Discovery,Pokémon - Basic,Metal,Rare Holo
Politoed,8,Neo Discovery,Pokémon - Stage 2,Water,Rare Holo
Poliwrath,9,Neo Discovery,Pokémon - Stage 2,Fighting,Rare Holo
Scizor,10,Neo Discovery,Pokémon - Stage 1,Metal,Rare Holo
Smeargle,11,Neo Discovery,Pokémon - Basic,Colorless,Rare Holo
Tyranitar,12,Neo Discovery,Pokémon - Stage 2,Darkness,Rare Holo
Umbreon,13,Neo Discovery,Pokémon - Stage 1,Darkness,Rare Holo
Unown A,14,Neo Discovery,Pokémon - Basic,Psychic,Rare Holo
Ursaring,15,Neo Discovery,Pokémon - Stage 1,Colorless,Rare Holo
Wobbuffet,16,Neo Discovery,Pokémon - Basic,Psychic,Rare Holo
Yanma,17,Neo Discovery,Pokémon - Basic,Grass,Rare Holo
Beedrill,18,Neo Discovery,Pokémon - Stage 2,Grass,Rare
Butterfree,19,Neo Discovery,Pokémon - Stage 2,Grass,Rare
Espeon,20,Neo Discovery,Pokémon - Stage 1,Psychic,Rare
Forretress,21,Neo Discovery,Pokémon - Stage 1,Metal,Rare
Hitmontop,22,Neo Discovery,Pokémon - Basic,Fighting,Rare
Houndoom,23,Neo Discovery,Pokémon - Stage 1,Darkness,Rare
Houndour,24,Neo Discovery,Pokémon - Basic,Fire,Rare
Kabutops,25,Neo Discovery,Pokémon - Stage 2,Water,Rare
Magnemite,26,Neo Discovery,Pokémon - Basic,Metal,Rare
Politoed,27,Neo Discovery,Pokémon - Stage 2,Water,Rare
Poliwrath,28,Neo Discovery,Pokémon - Stage 2,Fighting,Rare
Scizor,29,Neo Discovery,Pokémon - Stage 1,Metal,Rare
Smeargle,30,Neo Discovery,Pokémon - Basic,Colorless,Rare
Tyranitar,31,Neo Discovery,Pokémon - Stage 2,Darkness,Rare
Umbreon,32,Neo Discovery,Pokémon - Stage 1,Darkness,Rare
Unown A,33,Neo Discovery,Pokémon - Basic,Psychic,Rare
Ursaring,34,Neo Discovery,Pokémon - Stage 1,Colorless,Rare
Wobbuffet,35,Neo Discovery,Pokémon - Basic,Psychic,Rare
Yanma,36,Neo Discovery,Pokémon - Basic,Grass,Rare
Corsola,37,Neo Discovery,Pokémon - Basic,Water,Uncommon
Eevee,38,Neo Discovery,Pokémon - Basic,Colorless,Uncommon
Houndour,39,Neo Discovery,Pokémon - Basic,Darkness,Uncommon
Igglybuff,40,Neo Discovery,Pokémon - Baby,Colorless,Uncommon
Kakuna,41,Neo Discovery,Pokémon - Stage 1,Grass,Uncommon
Metapod,42,Neo Discovery,Pokémon - Stage 1,Grass,Uncommon
Omastar,43,Neo Discovery,Pokémon - Stage 2,Fighting,Uncommon
Poliwhirl,44,Neo Discovery,Pokémon - Stage 1,Water,Uncommon
Pupitar,45,Neo Discovery,Pokémon - Stage 1,Fighting,Uncommon
Scyther,46,Neo Discovery,Pokémon - Basic,Grass,Uncommon
Unown D,47,Neo Discovery,Pokémon - Basic,Psychic,Uncommon
Unown F,48,Neo Discovery,Pokémon - Basic,Psychic,Uncommon
Unown M,49,Neo Discovery,Pokémon - Basic,Psychic,Uncommon
Unown N,50,Neo Discovery,Pokémon - Basic,Psychic,Uncommon
Unown U,51,Neo Discovery,Pokémon - Basic,Psychic,Uncommon
Xatu,52,Neo Discovery,Pokémon - Stage 1,Psychic,Uncommon
Caterpie,53,Neo Discovery,Pokémon - Basic,Grass,Common
Dunsparce,54,Neo Discovery,Pokémon - Basic,Colorless,Common
Hoppip,55,Neo Discovery,Pokémon - Basic,Grass,Common
Kabuto,56,Neo Discovery,Pokémon - Stage 1,Grass,Common
Larvitar,57,Neo Discovery,Pokémon - Basic,Fighting,Common
Mareep,58,Neo Discovery,Pokémon - Basic,Lightning,Common
Natu,59,Neo Discovery,Pokémon - Basic,Psychic,Common
Omanyte,60,Neo Discovery,Pokémon - Stage 1,Fighting,Common
Pineco,61,Neo Discovery,Pokémon - Basic,Grass,Common
Poliwag,62,Neo Discovery,Pokémon - Basic,Water,Common
Sentret,63,Neo Discovery,Pokémon - Basic,Colorless,Common
Spinarak,64,Neo Discovery,Pokémon - Basic,Grass,Common
Teddiursa,65,Neo Discovery,Pokémon - Basic,Colorless,Common
Tyrogue,66,Neo Discovery,Pokémon - Baby,Fighting,Common
Unown E,67,Neo Discovery,Pokémon - Basic,Psychic,Common
Unown I,68,Neo Discovery,Pokémon - Basic,Psychic,Common
Unown O,69,Neo Discovery,Pokémon - Basic,Psychic,Common
Weedle,70,Neo Discovery,Pokémon - Basic,Grass,Common
Wooper,71,Neo Discovery,Pokémon - Basic,Water,Common
Fossil Egg,72,Neo Discovery,Trainer,n/a,Uncommon
Hyper Devolution Spray,73,Neo Discovery,Trainer,n/a,Uncommon
Ruin Wall,74,Neo Discovery,Trainer,n/a,Uncommon
