Ampharos,1,Neo Genesis,Pokémon - Stage 2,Lightning,Rare Holo
Azumarill,2,Neo Genesis,Pokémon - Stage 1,Water,Rare Holo
Bellossom,3,Neo Genesis,Pokémon - Stage 2,Grass,Rare Holo
Feraligatr,4,Neo Genesis,Pokémon - Stage 2,Water,Rare Holo
Feraligatr,5,Neo Genesis,Pokémon - Stage 2,Water,Rare Holo
Heracross,6,Neo Genesis,Pokémon - Basic,Grass,Rare Holo
Jumpluff,7,Neo Genesis,Pokémon - Stage 2,Grass,Rare Holo
Kingdra,8,Neo Genesis,Pokémon - Stage 2,Water,Rare Holo
Lugia,9,Neo Genesis,Pokémon - Basic,Colorless,Rare Holo
Meganium,10,Neo Genesis,Pokémon - Stage 2,Grass,Rare Holo
Meganium,11,Neo Genesis,Pokémon - Stage 2,Grass,Rare Holo
Pichu,12,Neo Genesis,Pokémon - Baby,Lightning,Rare Holo
Skarmory,13,Neo Genesis,Pokémon - Basic,Metal,Rare Holo
Slowking,14,Neo Genesis,Pokémon - Stage 1,Psychic,Rare Holo
Steelix,15,Neo Genesis,Pokémon - Stage 1,Metal,Rare Holo
Togetic,16,Neo Genesis,Pokémon - Stage 1,Colorless,Rare Holo
Typhlosion,17,Neo Genesis,Pokémon - Stage 2,Fire,Rare Holo
Typhlosion,18,Neo Genesis,Pokémon - Stage 2,Fire,Rare Holo
Metal Energy,19,Neo Genesis,Energy - Special Energy,n/a,Rare Holo
Cleffa,20,Neo Genesis,Pokémon - Baby,Colorless,Rare
Donphan,21,Neo Genesis,Pokémon - Stage 1,Fighting,Rare
Elekid,22,Neo Genesis,Pokémon - Baby,Lightning,Rare
Magby,23,Neo Genesis,Pokémon - Baby,Fire,Rare
Murkrow,24,Neo Genesis,Pokémon - Basic,Darkness,Rare
Sneasel,25,Neo Genesis,Pokémon - Basic,Darkness,Rare
Aipom,26,Neo Genesis,Pokémon - Basic,Colorless,Uncommon
Ariados,27,Neo Genesis,Pokémon - Stage 1,Grass,Uncommon
Bayleef,28,Neo Genesis,Pokémon - Stage 1,Grass,Uncommon
Bayleef,29,Neo Genesis,Pokémon - Stage 1,Grass,Uncommon
Clefairy,30,Neo Genesis,Pokémon - Basic,Colorless,Uncommon
Croconaw,31,Neo Genesis,Pokémon - Stage 1,Water,Uncommon
Croconaw,32,Neo Genesis,Pokémon - Stage 1,Water,Uncommon
Electabuzz,33,Neo Genesis,Pokémon - Basic,Lightning,Uncommon
Flaaffy,34,Neo Genesis,Pokémon - Stage 1,Lightning,Uncommon
Furret,35,Neo Genesis,Pokémon - Stage 1,Colorless,Uncommon
Gloom,36,Neo Genesis,Pokémon - Stage 1,Grass,Uncommon
Granbull,37,Neo Genesis,Pokémon - Stage 1,Colorless,Uncommon
Lanturn,38,Neo Genesis,Pokémon - Stage 1,Lightning,Uncommon
Ledian,39,Neo Genesis,Pokémon - Stage 1,Grass,Uncommon
Magmar,40,Neo Genesis,Pokémon - Basic,Fire,Uncommon
Miltank,41,Neo Genesis,Pokémon - Basic,Colorless,Uncommon
Noctowl,42,Neo Genesis,Pokémon - Stage 1,Colorless,Uncommon
Phanpy,43,Neo Genesis,Pokémon - Basic,Fighting,Uncommon
Piloswine,44,Neo Genesis,Pokémon - Stage 1,Water,Uncommon
Quagsire,45,Neo Genesis,Pokémon - Stage 1,Water,Uncommon
Quilava,46,Neo Genesis,Pokémon - Stage 1,Fire,Uncommon
Quilava,47,Neo Genesis,Pokémon - Stage 1,Fire,Uncommon
Seadra,48,Neo Genesis,Pokémon - Stage 1,Water,Uncommon
Skiploom,49,Neo Genesis,Pokémon - Stage 1,Grass,Uncommon
Sunflora,50,Neo Genesis,Pokémon - Stage 1,Grass,Uncommon
Togepi,51,Neo Genesis,Pokémon - Basic,Colorless,Uncommon
Xatu,52,Neo Genesis,Pokémon - Stage 1,Psychic,Uncommon
Chikorita,53,Neo Genesis,Pokémon - Basic,Grass,Common
Chikorita,54,Neo Genesis,Pokémon - Basic,Grass,Common
Chinchou,55,Neo Genesis,Pokémon - Basic,Lightning,Common
Cyndaquil,56,Neo Genesis,Pokémon - Basic,Fire,Common
Cyndaquil,57,Neo Genesis,Pokémon - Basic,Fire,Common
Girafarig,58,Neo Genesis,Pokémon - Basic,Psychic,Common
Gligar,59,Neo Genesis,Pokémon - Basic,Fighting,Common
Hoothoot,60,Neo Genesis,Pokémon - Basic,Colorless,Common
Hoppip,61,Neo Genesis,Pokémon - Basic,Grass,Common
Horsea,62,Neo Genesis,Pokémon - Basic,Water,Common
Ledyba,63,Neo Genesis,Pokémon - Basic,Grass,Common
Mantine,64,Neo Genesis,Pokémon - Basic,Water,Common
Mareep,65,Neo Genesis,Pokémon - Basic,Lightning,Common
Marill,66,Neo Genesis,Pokémon - Basic,Water,Common
Natu,67,Neo Genesis,Pokémon - Basic,Psychic,Common
Oddish,68,Neo Genesis,Pokémon - Basic,Grass,Common
Onix,69,Neo Genesis,Pokémon - Basic,Fighting,Common
Pikachu,70,Neo Genesis,Pokémon - Basic,Lightning,Common
Sentret,71,Neo Genesis,Pokémon - Basic,Colorless,Common
Shuckle,72,Neo Genesis,Pokémon - Basic,Grass,Common
Slowpoke,73,Neo Genesis,Pokémon - Basic,Psychic,Common
Snubbull,74,Neo Genesis,Pokémon - Basic,Colorless,Common
Spinarak,75,Neo Genesis,Pokémon - Basic,Grass,Common
Stantler,76,Neo Genesis,Pokémon - Basic,Colorless,Common
Sudowoodo,77,Neo Genesis,Pokémon - Basic,Fighting,Common
Sunkern,78,Neo Genesis,Pokémon - Basic,Grass,Common
Swinub,79,Neo Genesis,Pokémon - Basic,Water,Common
Totodile,80,Neo Genesis,Pokémon - Basic,Water,Common
Totodile,81,Neo Genesis,Pokémon - Basic,Water,Common
Wooper,82,Neo Genesis,Pokémon - Basic,Water,Common
Arcade Game,83,Neo Genesis,Trainer,n/a,Rare
Ecogym,84,Neo Genesis,Trainer,n/a,Rare
Energy Charge,85,Neo Genesis,Trainer,n/a,Rare
Focus Band,86,Neo Genesis,Trainer,n/a,Rare
