Ampharos,1,Neo Revelation,Pokémon - Stage 2,Lightning,Rare Holo
Blissey,2,Neo Revelation,Pokémon - Stage 1,Colorless,Rare Holo
Celebi,3,Neo Revelation,Pokémon - Basic,Psychic,Rare Holo
Crobat,4,Neo Revelation,Pokémon - Stage 2,Grass,Rare Holo
Delibird,5,Neo Revelation,Pokémon - Basic,Colorless,Rare Holo
Entei,6,Neo Revelation,Pokémon - Basic,Fire,Rare Holo
Ho-oh,7,Neo Revelation,Pokémon - Basic,Fire,Rare Holo
Houndoom,8,Neo Revelation,Pokémon - Stage 1,Darkness,Rare Holo
Jumpluff,9,Neo Revelation,Pokémon - Stage 2,Grass,Rare Holo
Magneton,10,Neo Revelation,Pokémon - Stage 1,Metal,Rare Holo
Misdreavus,11,Neo Revelation,Pokémon - Basic,Psychic,Rare Holo
Porygon2,12,Neo Revelation,Pokémon - Stage 1,Colorless,Rare Holo
Raikou,13,Neo Revelation,Pokémon - Basic,Lightning,Rare Holo
Suicune,14,Neo Revelation,Pokémon - Basic,Water,Rare Holo
Aerodactyl,15,Neo Revelation,Pokémon - Stage 1,Fighting,Rare
Celebi,16,Neo Revelation,Pokémon - Basic,Grass,Rare
Entei,17,Neo Revelation,Pokémon - Basic,Fire,Rare
Ho-oh,18,Neo Revelation,Pokémon - Basic,Colorless,Rare
Kingdra,19,Neo Revelation,Pokémon - Stage 2,Water,Rare
Lugia,20,Neo Revelation,Pokémon - Basic,Psychic,Rare
Raichu,21,Neo Revelation,Pokémon - Stage 1,Lightning,Rare
Raikou,22,Neo Revelation,Pokémon - Basic,Lightning,Rare
Skarmory,23,Neo Revelation,Pokémon - Basic,Metal,Rare
Sneasel,24,Neo Revelation,Pokémon - Basic,Darkness,Rare
Starmie,25,Neo Revelation,Pokémon - Stage 1,Psychic,Rare
Sudowoodo,26,Neo Revelation,Pokémon - Basic,Fighting,Rare
Suicune,27,Neo Revelation,Pokémon - Basic,Water,Rare
Flaaffy,28,Neo Revelation,Pokémon - Stage 1,Lightning,Uncommon
Golbat,29,Neo Revelation,Pokémon - Stage 1,Grass,Uncommon
Graveler,30,Neo Revelation,Pokémon - Stage 1,Fighting,Uncommon
Jynx,31,Neo Revelation,Pokémon - Basic,Water,Uncommon
Lanturn,32,Neo Revelation,Pokémon - Stage 1,Lightning,Uncommon
Magcargo,33,Neo Revelation,Pokémon - Stage 1,Fire,Uncommon
Octillery,34,Neo Revelation,Pokémon - Stage 1,Water,Uncommon
Parasect,35,Neo Revelation,Pokémon - Basic,Grass,Uncommon
Piloswine,36,Neo Revelation,Pokémon - Stage 1,Fighting,Uncommon
Seaking,37,Neo Revelation,Pokémon - Stage 1,Water,Uncommon
Stantler,38,Neo Revelation,Pokémon - Basic,Colorless,Uncommon
Unown B,39,Neo Revelation,Pokémon - Basic,Psychic,Uncommon
Unown Y,40,Neo Revelation,Pokémon - Basic,Psychic,Uncommon
Aipom,41,Neo Revelation,Pokémon - Basic,Colorless,Common
Chinchou,42,Neo Revelation,Pokémon - Basic,Lightning,Common
Farfetch'd,43,Neo Revelation,Pokémon - Basic,Colorless,Common
Geodude,44,Neo Revelation,Pokémon - Basic,Fighting,Common
Goldeen,45,Neo Revelation,Pokémon - Basic,Water,Common
Murkrow,46,Neo Revelation,Pokémon - Basic,Darkness,Common
Paras,47,Neo Revelation,Pokémon - Basic,Grass,Common
Quagsire,48,Neo Revelation,Pokémon - Stage 1,Water,Common
Qwilfish,49,Neo Revelation,Pokémon - Basic,Water,Common
Remoraid,50,Neo Revelation,Pokémon - Basic,Water,Common
Shuckle,51,Neo Revelation,Pokémon - Basic,Fighting,Common
Skiploom,52,Neo Revelation,Pokémon - Stage 1,Grass,Common
Slugma,53,Neo Revelation,Pokémon - Basic,Fire,Common
Smoochum,54,Neo Revelation,Pokémon - Baby,Psychic,Common
Snubbull,55,Neo Revelation,Pokémon - Basic,Colorless,Common
Staryu,56,Neo Revelation,Pokémon - Basic,Water,Common
Swinub,57,Neo Revelation,Pokémon - Basic,Fighting,Common
Unown K,58,Neo Revelation,Pokémon - Basic,Psychic,Common
Zubat,59,Neo Revelation,Pokémon - Basic,Grass,Common
Balloon Berry,60,Neo Revelation,Trainer,n/a,Uncommon
Healing Field,61,Neo Revelation,Trainer,n/a,Uncommon
Pokémon Breeder Fields,62,Neo Revelation,Trainer,n/a,Uncommon
Rocket's Hideout,63,Neo Revelation,Trainer,n/a,Common
Old Rod,64,Neo Revelation,Trainer,n/a,Common
Shining Gyarados,65,Neo Revelation,Pokémon - Basic,Water,Shining
