Surskit,1,Plasma Blast,Pokémon - Basic,Grass,Common
Masquerain,2,Plasma Blast,Pokémon - Stage 1,Grass,Rare
Lileep,3,Plasma Blast,Pokémon - Restored,Grass,Uncommon
Cradily,4,Plasma Blast,Pokémon - Stage 1,Grass,Rare
Tropius,5,Plasma Blast,Pokémon - Basic,Grass,Uncommon
Karrablast,6,Plasma Blast,Pokémon - Basic,Grass,Common
Shelmet,7,Plasma Blast,Pokémon - Basic,Grass,Common
Accelgor,8,Plasma Blast,Pokémon - Stage 1,Grass,Rare
Virizion-EX,9,Plasma Blast,Pokémon - Basic,Grass,Rare Holo
Genesect,10,Plasma Blast,Pokémon - Basic,Grass,Rare
Genesect-EX,11,Plasma Blast,Pokémon - Basic,Grass,Rare Holo
Larvesta,12,Plasma Blast,Pokémon - Basic,Fire,Common
Volcarona,13,Plasma Blast,Pokémon - Stage 1,Fire,Rare
Squirtle,14,Plasma Blast,Pokémon - Basic,Water,Common
Wartortle,15,Plasma Blast,Pokémon - Stage 1,Water,Uncommon
Blastoise,16,Plasma Blast,Pokémon - Stage 2,Water,Rare Holo
Lapras,17,Plasma Blast,Pokémon - Basic,Water,Common
Remoraid,18,Plasma Blast,Pokémon - Basic,Water,Common
Octillery,19,Plasma Blast,Pokémon - Stage 1,Water,Uncommon
Suicune,20,Plasma Blast,Pokémon - Basic,Water,Rare
Snorunt,21,Plasma Blast,Pokémon - Basic,Water,Common
Glalie,22,Plasma Blast,Pokémon - Stage 1,Water,Uncommon
Froslass,23,Plasma Blast,Pokémon - Stage 1,Water,Rare
Relicanth,24,Plasma Blast,Pokémon - Basic,Water,Uncommon
Snover,25,Plasma Blast,Pokémon - Basic,Water,Common
Abomasnow,26,Plasma Blast,Pokémon - Stage 1,Water,Uncommon
Tirtouga,27,Plasma Blast,Pokémon - Restored,Water,Uncommon
Carracosta,28,Plasma Blast,Pokémon - Stage 1,Water,Rare
Ducklett,29,Plasma Blast,Pokémon - Basic,Water,Common
Kyurem-EX,30,Plasma Blast,Pokémon - Basic,Water,Rare Holo
Tynamo,31,Plasma Blast,Pokémon - Basic,Lightning,Common
Eelektrik,32,Plasma Blast,Pokémon - Stage 1,Lightning,Uncommon
Eelektross,33,Plasma Blast,Pokémon - Stage 2,Lightning,Rare Holo
Drifloon,34,Plasma Blast,Pokémon - Basic,Psychic,Common
Drifblim,35,Plasma Blast,Pokémon - Stage 1,Psychic,Rare
Uxie,36,Plasma Blast,Pokémon - Basic,Psychic,Rare
Mesprit,37,Plasma Blast,Pokémon - Basic,Psychic,Rare Holo
Azelf,38,Plasma Blast,Pokémon - Basic,Psychic,Rare
Munna,39,Plasma Blast,Pokémon - Basic,Psychic,Common
Musharna,40,Plasma Blast,Pokémon - Stage 1,Psychic,Uncommon
Sigilyph,41,Plasma Blast,Pokémon - Basic,Psychic,Rare Holo
Solosis,42,Plasma Blast,Pokémon - Basic,Psychic,Common
Duosion,43,Plasma Blast,Pokémon - Stage 1,Psychic,Uncommon
Reuniclus,44,Plasma Blast,Pokémon - Stage 2,Psychic,Rare
Golett,45,Plasma Blast,Pokémon - Basic,Psychic,Common
Golurk,46,Plasma Blast,Pokémon - Stage 1,Psychic,Rare Holo
Machop,47,Plasma Blast,Pokémon - Basic,Fighting,Common
Machoke,48,Plasma Blast,Pokémon - Stage 1,Fighting,Uncommon
Machamp,49,Plasma Blast,Pokémon - Stage 2,Fighting,Rare Holo
Machamp,50,Plasma Blast,Pokémon - Stage 2,Fighting,Rare
Throh,51,Plasma Blast,Pokémon - Basic,Fighting,Common
Sawk,52,Plasma Blast,Pokémon - Basic,Fighting,Common
Archen,53,Plasma Blast,Pokémon - Restored,Fighting,Uncommon
