Weedle,1,Plasma Freeze,Pokémon - Basic,Grass,Common
Kakuna,2,Plasma Freeze,Pokémon - Stage 1,Grass,Uncommon
Beedrill,3,Plasma Freeze,Pokémon - Stage 2,Grass,Rare
Exeggcute,4,Plasma Freeze,Pokémon - Basic,Grass,Uncommon
Exeggutor,5,Plasma Freeze,Pokémon - Stage 1,Grass,Rare
Treecko,6,Plasma Freeze,Pokémon - Basic,Grass,Common
Grovyle,7,Plasma Freeze,Pokémon - Stage 1,Grass,Uncommon
Sceptile,8,Plasma Freeze,Pokémon - Stage 2,Grass,Rare Holo
Cacnea,9,Plasma Freeze,Pokémon - Basic,Grass,Common
Cacturne,10,Plasma Freeze,Pokémon - Stage 1,Grass,Rare
Leafeon,11,Plasma Freeze,Pokémon - Stage 1,Grass,Rare
Flareon,12,Plasma Freeze,Pokémon - Stage 1,Fire,Uncommon
Heatran-EX,13,Plasma Freeze,Pokémon - Basic,Fire,Ultra Rare
Litwick,14,Plasma Freeze,Pokémon - Basic,Fire,Common
Lampent,15,Plasma Freeze,Pokémon - Stage 1,Fire,Uncommon
Chandelure,16,Plasma Freeze,Pokémon - Stage 2,Fire,Rare Holo
Reshiram,17,Plasma Freeze,Pokémon - Basic,Fire,Rare Holo
Horsea,18,Plasma Freeze,Pokémon - Basic,Water,Common
Seadra,19,Plasma Freeze,Pokémon - Stage 1,Water,Uncommon
Vaporeon,20,Plasma Freeze,Pokémon - Stage 1,Water,Uncommon
Wooper,21,Plasma Freeze,Pokémon - Basic,Water,Common
Quagsire,22,Plasma Freeze,Pokémon - Stage 1,Water,Rare
Glaceon,23,Plasma Freeze,Pokémon - Stage 1,Water,Rare
Tympole,24,Plasma Freeze,Pokémon - Basic,Water,Common
Palpitoad,25,Plasma Freeze,Pokémon - Stage 1,Water,Uncommon
Seismitoad,26,Plasma Freeze,Pokémon - Stage 2,Water,Rare
Vanillite,27,Plasma Freeze,Pokémon - Basic,Water,Common
Vanillish,28,Plasma Freeze,Pokémon - Stage 1,Water,Uncommon
Vanilluxe,29,Plasma Freeze,Pokémon - Stage 2,Water,Rare
Cryogonal,30,Plasma Freeze,Pokémon - Basic,Water,Uncommon
Kyurem,31,Plasma Freeze,Pokémon - Basic,Water,Rare Holo
Voltorb,32,Plasma Freeze,Pokémon - Basic,Lightning,Common
Electrode,33,Plasma Freeze,Pokémon - Stage 1,Lightning,Rare Holo
Jolteon,34,Plasma Freeze,Pokémon - Stage 1,Lightning,Uncommon
Chinchou,35,Plasma Freeze,Pokémon - Basic,Lightning,Common
Lanturn,36,Plasma Freeze,Pokémon - Stage 1,Lightning,Uncommon
Pachirisu,37,Plasma Freeze,Pokémon - Basic,Lightning,Common
Thundurus-EX,38,Plasma Freeze,Pokémon - Basic,Lightning,Ultra Rare
Zekrom,39,Plasma Freeze,Pokémon - Basic,Lightning,Rare Holo
Nidoran Female,40,Plasma Freeze,Pokémon - Basic,Psychic,Common
Nidorina,41,Plasma Freeze,Pokémon - Stage 1,Psychic,Uncommon
Nidoqueen,42,Plasma Freeze,Pokémon - Stage 2,Psychic,Rare
Nidoran Male,43,Plasma Freeze,Pokémon - Basic,Psychic,Common
Nidorino,44,Plasma Freeze,Pokémon - Stage 1,Psychic,Uncommon
Grimer,45,Plasma Freeze,Pokémon - Basic,Psychic,Common
Muk,46,Plasma Freeze,Pokémon - Stage 1,Psychic,Rare
Mr. Mime,47,Plasma Freeze,Pokémon - Basic,Psychic,Rare
Espeon,48,Plasma Freeze,Pokémon - Stage 1,Psychic,Uncommon
Sableye,49,Plasma Freeze,Pokémon - Basic,Psychic,Rare
Beldum,50,Plasma Freeze,Pokémon - Basic,Psychic,Common
Metang,51,Plasma Freeze,Pokémon - Stage 1,Psychic,Uncommon
Metagross,52,Plasma Freeze,Pokémon - Stage 2,Psychic,Rare Holo
Deoxys-EX,53,Plasma Freeze,Pokémon - Basic,Psychic,Ultra Rare
Yamask,54,Plasma Freeze,Pokémon - Basic,Psychic,Common
Yamask,55,Plasma Freeze,Pokémon - Basic,Psychic,Common
Cofagrigus,56,Plasma Freeze,Pokémon - Stage 1,Psychic,Rare Holo
Cofagrigus,57,Plasma Freeze,Pokémon - Stage 1,Psychic,Rare
Nidoking,58,Plasma Freeze,Pokémon - Stage 2,Fighting,Rare
Mankey,59,Plasma Freeze,Pokémon - Basic,Fighting,Common
Primeape,60,Plasma Freeze,Pokémon - Stage 1,Fighting,Common
Onix,61,Plasma Freeze,Pokémon - Basic,Fighting,Uncommon
Makuhita,62,Plasma Freeze,Pokémon - Basic,Fighting,Common
Hariyama,63,Plasma Freeze,Pokémon - Stage 1,Fighting,Rare
Umbreon,64,Plasma Freeze,Pokémon - Stage 1,Darkness,Rare Holo
