Turtwig,1,Plasma Storm,Pokémon - Basic,Grass,Common
Grotle,2,Plasma Storm,Pokémon - Stage 1,Grass,Uncommon
Torterra,3,Plasma Storm,Pokémon - Stage 2,Grass,Rare
Combee,4,Plasma Storm,Pokémon - Basic,Grass,Common
Vespiquen,5,Plasma Storm,Pokémon - Stage 1,Grass,Rare
Cherubi,6,Plasma Storm,Pokémon - Basic,Grass,Common
Cherrim,7,Plasma Storm,Pokémon - Stage 1,Grass,Rare
Sewaddle,8,Plasma Storm,Pokémon - Basic,Grass,Common
Swadloon,9,Plasma Storm,Pokémon - Stage 1,Grass,Uncommon
Leavanny,10,Plasma Storm,Pokémon - Stage 2,Grass,Rare
Maractus,11,Plasma Storm,Pokémon - Basic,Grass,Uncommon
Foongus,12,Plasma Storm,Pokémon - Basic,Grass,Common
Amoonguss,13,Plasma Storm,Pokémon - Stage 1,Grass,Uncommon
Moltres-EX,14,Plasma Storm,Pokémon - Basic,Fire,Ultra Rare
Chimchar,15,Plasma Storm,Pokémon - Basic,Fire,Common
Monferno,16,Plasma Storm,Pokémon - Stage 1,Fire,Uncommon
Infernape,17,Plasma Storm,Pokémon - Stage 2,Fire,Rare Holo
Victini-EX,18,Plasma Storm,Pokémon - Basic,Fire,Ultra Rare
Pansear,19,Plasma Storm,Pokémon - Basic,Fire,Common
Simisear,20,Plasma Storm,Pokémon - Stage 1,Fire,Uncommon
Litwick,21,Plasma Storm,Pokémon - Basic,Fire,Common
Lampent,22,Plasma Storm,Pokémon - Stage 1,Fire,Uncommon
Heatmor,23,Plasma Storm,Pokémon - Basic,Fire,Uncommon
Squirtle,24,Plasma Storm,Pokémon - Basic,Water,Common
Articuno-EX,25,Plasma Storm,Pokémon - Basic,Water,Ultra Rare
Swinub,26,Plasma Storm,Pokémon - Basic,Water,Common
Piloswine,27,Plasma Storm,Pokémon - Stage 1,Water,Uncommon
Mamoswine,28,Plasma Storm,Pokémon - Stage 2,Water,Rare
Lotad,29,Plasma Storm,Pokémon - Basic,Water,Common
Lombre,30,Plasma Storm,Pokémon - Stage 1,Water,Uncommon
Ludicolo,31,Plasma Storm,Pokémon - Stage 2,Water,Rare
Carvanha,32,Plasma Storm,Pokémon - Basic,Water,Common
Sharpedo,33,Plasma Storm,Pokémon - Stage 1,Water,Rare
Manaphy,34,Plasma Storm,Pokémon - Basic,Water,Rare Holo
Vanillite,35,Plasma Storm,Pokémon - Basic,Water,Common
Vanillish,36,Plasma Storm,Pokémon - Stage 1,Water,Uncommon
Vanilluxe,37,Plasma Storm,Pokémon - Stage 2,Water,Rare
Frillish,38,Plasma Storm,Pokémon - Basic,Water,Common
Jellicent,39,Plasma Storm,Pokémon - Stage 1,Water,Rare
Cubchoo,40,Plasma Storm,Pokémon - Basic,Water,Common
Beartic,41,Plasma Storm,Pokémon - Stage 1,Water,Rare
Magnemite,42,Plasma Storm,Pokémon - Basic,Lightning,Common
Magnemite,43,Plasma Storm,Pokémon - Basic,Lightning,Common
Magneton,44,Plasma Storm,Pokémon - Stage 1,Lightning,Uncommon
Magneton,45,Plasma Storm,Pokémon - Stage 1,Lightning,Uncommon
Magnezone,46,Plasma Storm,Pokémon - Stage 2,Lightning,Rare Holo
Magnezone,47,Plasma Storm,Pokémon - Stage 2,Lightning,Rare
Zapdos-EX,48,Plasma Storm,Pokémon - Basic,Lightning,Ultra Rare
Rotom,49,Plasma Storm,Pokémon - Basic,Lightning,Uncommon
Joltik,50,Plasma Storm,Pokémon - Basic,Lightning,Common
Galvantula,51,Plasma Storm,Pokémon - Stage 1,Lightning,Uncommon
Zubat,52,Plasma Storm,Pokémon - Basic,Psychic,Common
Zubat,53,Plasma Storm,Pokémon - Basic,Psychic,Common
Golbat,54,Plasma Storm,Pokémon - Stage 1,Psychic,Uncommon
Crobat,55,Plasma Storm,Pokémon - Stage 2,Psychic,Rare Holo
Koffing,56,Plasma Storm,Pokémon - Basic,Psychic,Common
Koffing,57,Plasma Storm,Pokémon - Basic,Psychic,Uncommon
Weezing,58,Plasma Storm,Pokémon - Stage 1,Psychic,Rare Holo
Ralts,59,Plasma Storm,Pokémon - Basic,Psychic,Common
Kirlia,60,Plasma Storm,Pokémon - Stage 1,Psychic,Uncommon
Gallade,61,Plasma Storm,Pokémon - Stage 2,Psychic,Rare Holo
Giratina,62,Plasma Storm,Pokémon - Basic,Psychic,Rare
Trubbish,63,Plasma Storm,Pokémon - Basic,Psychic,Uncommon
Trubbish,64,Plasma Storm,Pokémon - Basic,Psychic,Common
Trubbish,65,Plasma Storm,Pokémon - Basic,Psychic,Common
Garbodor,66,Plasma Storm,Pokémon - Stage 1,Psychic,Rare Holo
Garbodor,67,Plasma Storm,Pokémon - Stage 1,Psychic,Rare
Elgyem,68,Plasma Storm,Pokémon - Basic,Psychic,Common
Elgyem,69,Plasma Storm,Pokémon - Basic,Psychic,Uncommon
Beheeyem,70,Plasma Storm,Pokémon - Stage 1,Psychic,Rare
Phanpy,71,Plasma Storm,Pokémon - Basic,Fighting,Common
Donphan,72,Plasma Storm,Pokémon - Stage 1,Fighting,Uncommon
Lunatone,73,Plasma Storm,Pokémon - Basic,Fighting,Uncommon
Solrock,74,Plasma Storm,Pokémon - Basic,Fighting,Uncommon
Riolu,75,Plasma Storm,Pokémon - Basic,Fighting,Common
Riolu,76,Plasma Storm,Pokémon - Basic,Fighting,Common
Lucario,77,Plasma Storm,Pokémon - Stage 1,Fighting,Uncommon
