Armaldo,1,Sandstorm,Pokémon - Stage 2,Fighting,Rare
Cacturne,2,Sandstorm,Pokémon - Stage 1,Grass,Rare
Cradily,3,Sandstorm,Pokémon - Stage 2,Grass,Rare
Dusclops,4,Sandstorm,Pokémon - Stage 1,Psychic,Rare
Flareon,5,Sandstorm,Pokémon - Stage 1,Fire,Rare
Jolteon,6,Sandstorm,Pokémon - Stage 1,Lightning,Rare
Ludicolo,7,Sandstorm,Pokémon - Stage 2,Water,Rare
Lunatone,8,Sandstorm,Pokémon - Basic,Psychic,Rare
Mawile,9,Sandstorm,Pokémon - Basic,Metal,Rare
Sableye,10,Sandstorm,Pokémon - Basic,Darkness,Rare
Seviper,11,Sandstorm,Pokémon - Basic,Grass,Rare
Shiftry,12,Sandstorm,Pokémon - Stage 2,Grass,Rare
Solrock,13,Sandstorm,Pokémon - Basic,Fighting,Rare
Zangoose,14,Sandstorm,Pokémon - Basic,Colorless,Rare
Arcanine,15,Sandstorm,Pokémon - Stage 1,Fire,Rare
Espeon,16,Sandstorm,Pokémon - Stage 1,Psychic,Rare
Golduck,17,Sandstorm,Pokémon - Stage 1,Water,Rare
Kecleon,18,Sandstorm,Pokémon - Basic,Colorless,Rare
Omastar,19,Sandstorm,Pokémon - Stage 2,Water,Rare
Pichu,20,Sandstorm,Pokémon - Basic,Lightning,Rare
Sandslash,21,Sandstorm,Pokémon - Stage 1,Fighting,Rare
Shiftry,22,Sandstorm,Pokémon - Stage 2,Grass,Rare
Steelix,23,Sandstorm,Pokémon - Stage 1,Metal,Rare
Umbreon,24,Sandstorm,Pokémon - Stage 1,Darkness,Rare
Vaporeon,25,Sandstorm,Pokémon - Stage 1,Water,Rare
Wobbuffet,26,Sandstorm,Pokémon - Basic,Psychic,Rare
Anorith,27,Sandstorm,Pokémon - Stage 1,Fighting,Uncommon
Anorith,28,Sandstorm,Pokémon - Stage 1,Fighting,Uncommon
Arbok,29,Sandstorm,Pokémon - Stage 1,Grass,Uncommon
Azumarill,30,Sandstorm,Pokémon - Stage 1,Water,Uncommon
Azurill,31,Sandstorm,Pokémon - Basic,Colorless,Uncommon
Baltoy,32,Sandstorm,Pokémon - Basic,Fighting,Uncommon
Breloom,33,Sandstorm,Pokémon - Stage 1,Grass,Uncommon
Delcatty,34,Sandstorm,Pokémon - Stage 1,Colorless,Uncommon
Electabuzz,35,Sandstorm,Pokémon - Basic,Lightning,Uncommon
Elekid,36,Sandstorm,Pokémon - Basic,Lightning,Uncommon
Fearow,37,Sandstorm,Pokémon - Stage 1,Colorless,Uncommon
Illumise,38,Sandstorm,Pokémon - Basic,Grass,Uncommon
Kabuto,39,Sandstorm,Pokémon - Stage 1,Water,Uncommon
Kirlia,40,Sandstorm,Pokémon - Stage 1,Psychic,Uncommon
Lairon,41,Sandstorm,Pokémon - Stage 1,Metal,Uncommon
Lileep,42,Sandstorm,Pokémon - Stage 1,Grass,Uncommon
Lileep,43,Sandstorm,Pokémon - Stage 1,Grass,Uncommon
Linoone,44,Sandstorm,Pokémon - Stage 1,Colorless,Uncommon
Lombre,45,Sandstorm,Pokémon - Stage 1,Water,Uncommon
Lombre,46,Sandstorm,Pokémon - Stage 1,Water,Uncommon
Murkrow,47,Sandstorm,Pokémon - Basic,Darkness,Uncommon
Nuzleaf,48,Sandstorm,Pokémon - Stage 1,Grass,Uncommon
Nuzleaf,49,Sandstorm,Pokémon - Stage 1,Grass,Uncommon
Pelipper,50,Sandstorm,Pokémon - Stage 1,Water,Uncommon
Quilava,51,Sandstorm,Pokémon - Stage 1,Fire,Uncommon
Vigoroth,52,Sandstorm,Pokémon - Stage 1,Colorless,Uncommon
Volbeat,53,Sandstorm,Pokémon - Basic,Grass,Uncommon
Wynaut,54,Sandstorm,Pokémon - Basic,Psychic,Uncommon
Xatu,55,Sandstorm,Pokémon - Stage 1,Psychic,Uncommon
Aron,56,Sandstorm,Pokémon - Basic,Metal,Common
Cacnea,57,Sandstorm,Pokémon - Basic,Grass,Common
Cacnea,58,Sandstorm,Pokémon - Basic,Grass,Common
Cyndaquil,59,Sandstorm,Pokémon - Basic,Fire,Common
Dunsparce,60,Sandstorm,Pokémon - Basic,Colorless,Common
Duskull,61,Sandstorm,Pokémon - Basic,Psychic,Common
Duskull,62,Sandstorm,Pokémon - Basic,Psychic,Common
Eevee,63,Sandstorm,Pokémon - Basic,Colorless,Common
Ekans,64,Sandstorm,Pokémon - Basic,Grass,Common
Growlithe,65,Sandstorm,Pokémon - Basic,Fire,Common
Lotad,66,Sandstorm,Pokémon - Basic,Water,Common
Lotad,67,Sandstorm,Pokémon - Basic,Water,Common
Marill,68,Sandstorm,Pokémon - Basic,Water,Common
Natu,69,Sandstorm,Pokémon - Basic,Psychic,Common
Omanyte,70,Sandstorm,Pokémon - Stage 1,Water,Common
Onix,71,Sandstorm,Pokémon - Basic,Fighting,Common
Pikachu,72,Sandstorm,Pokémon - Basic,Lightning,Common
Psyduck,73,Sandstorm,Pokémon - Basic,Water,Common
Ralts,74,Sandstorm,Pokémon - Basic,Psychic,Common
Sandshrew,75,Sandstorm,Pokémon - Basic,Fighting,Common
Seedot,76,Sandstorm,Pokémon - Basic,Grass,Common
Seedot,77,Sandstorm,Pokémon - Basic,Grass,Common
Shroomish,78,Sandstorm,Pokémon - Basic,Grass,Common
Skitty,79,Sandstorm,Pokémon - Basic,Colorless,Common
Slakoth,80,Sandstorm,Pokémon - Basic,Colorless,Common
Spearow,81,Sandstorm,Pokémon - Basic,Colorless,Common
Trapinch,82,Sandstorm,Pokémon - Basic,Fighting,Common
Wailmer,83,Sandstorm,Pokémon - Basic,Water,Common
Wingull,84,Sandstorm,Pokémon - Basic,Water,Common
Zigzagoon,85,Sandstorm,Pokémon - Basic,Colorless,Common
Double Full Heal,86,Sandstorm,Trainer,n/a,Uncommon
Lanette's Net Search,87,Sandstorm,Trainer - Supporter,n/a,Uncommon
Rare Candy,88,Sandstorm,Trainer,n/a,Uncommon
Wally's Training,89,Sandstorm,Trainer - Supporter,n/a,Uncommon
Claw Fossil,90,Sandstorm,Trainer,n/a,Common
Mysterious Fossil,91,Sandstorm,Trainer,n/a,Common
Root Fossil,92,Sandstorm,Trainer,n/a,Common
Multi Energy,93,Sandstorm,Energy - Special Energy,n/a,Rare
Aerodactyl ex,94,Sandstorm,Pokémon - Stage 1,Colorless,Rare Holo
Aggron ex,95,Sandstorm,Pokémon - Stage 2,Metal,Rare Holo
Gardevoir ex,96,Sandstorm,Pokémon - Stage 2,Psychic,Rare Holo
Kabutops ex,97,Sandstorm,Pokémon - Stage 2,Water,Rare Holo
Raichu ex,98,Sandstorm,Pokémon - Stage 1,Lightning,Rare Holo
Typhlosion ex,99,Sandstorm,Pokémon - Stage 2,Fire,Rare Holo
