Ampharos,1,Secret Wonders,Pokémon - Stage 2,Lightning,Rare
Blastoise,2,Secret Wonders,Pokémon - Stage 2,Water,Rare
Charizard,3,Secret Wonders,Pokémon - Stage 2,Fire,Rare
Entei,4,Secret Wonders,Pokémon - Basic,Fire,Rare
Flygon,5,Secret Wonders,Pokémon - Stage 2,Fighting,Rare
Gallade,6,Secret Wonders,Pokémon - Stage 2,Fighting,Rare
Gardevoir,7,Secret Wonders,Pokémon - Stage 2,Psychic,Rare
Gastrodon East Sea,8,Secret Wonders,Pokémon - Stage 1,Water,Rare
Gastrodon West Sea,9,Secret Wonders,Pokémon - Stage 1,Fighting,Rare
Ho-Oh,10,Secret Wonders,Pokémon - Basic,Fire,null
Jumpluff,11,Secret Wonders,Pokémon - Stage 2,Grass,Rare
Lickilicky,12,Secret Wonders,Pokémon - Stage 1,Colorless,Rare
Ludicolo,13,Secret Wonders,Pokémon - Stage 2,Water,Rare
Lugia,14,Secret Wonders,Pokémon - Basic,Colorless,Rare
Mew,15,Secret Wonders,Pokémon - Basic,Psychic,Rare
Raikou,16,Secret Wonders,Pokémon - Basic,Lightning,Rare
Roserade,17,Secret Wonders,Pokémon - Stage 1,Grass,Rare
Salamence,18,Secret Wonders,Pokémon - Stage 2,Colorless,Rare
Suicune,19,Secret Wonders,Pokémon - Basic,Water,Rare
Venusaur,20,Secret Wonders,Pokémon - Stage 2,Grass,Rare
Absol,21,Secret Wonders,Pokémon - Basic,Darkness,Rare
Arcanine,22,Secret Wonders,Pokémon - Stage 1,Fire,Rare
Banette,23,Secret Wonders,Pokémon - Stage 1,Psychic,Rare
Dugtrio,24,Secret Wonders,Pokémon - Stage 1,Fighting,null
Electivire,25,Secret Wonders,Pokémon - Stage 1,Lightning,Rare
Electrode,26,Secret Wonders,Pokémon - Stage 1,Lightning,Rare
Furret,27,Secret Wonders,Pokémon - Stage 1,Colorless,Rare
Golduck,28,Secret Wonders,Pokémon - Stage 1,Water,Rare
Golem,29,Secret Wonders,Pokémon - Stage 2,Fighting,Rare
Jynx,30,Secret Wonders,Pokémon - Basic,Psychic,Rare
Magmortar,31,Secret Wonders,Pokémon - Stage 1,Fire,Rare
Minun,32,Secret Wonders,Pokémon - Basic,Lightning,Rare
Mothim,33,Secret Wonders,Pokémon - Stage 1,Grass,Rare
Nidoking,34,Secret Wonders,Pokémon - Stage 2,Psychic,Rare
Pidgeot,35,Secret Wonders,Pokémon - Stage 2,Colorless,Rare
Plusle,36,Secret Wonders,Pokémon - Basic,Lightning,Rare
Sharpedo,37,Secret Wonders,Pokémon - Stage 1,Darkness,Rare
Sunflora,38,Secret Wonders,Pokémon - Stage 1,Grass,Rare
Unown S,39,Secret Wonders,Pokémon - Basic,Psychic,Rare
Weavile,40,Secret Wonders,Pokémon - Stage 1,Water,Rare
Wormadam Plant Cloak,41,Secret Wonders,Pokémon - Stage 1,Grass,Rare
Wormadam Sandy Cloak,42,Secret Wonders,Pokémon - Stage 1,Fighting,Rare
Wormadam Trash Cloak,43,Secret Wonders,Pokémon - Stage 1,Metal,Rare
Xatu,44,Secret Wonders,Pokémon - Stage 1,Psychic,Rare
Breloom,45,Secret Wonders,Pokémon - Stage 1,Grass,Uncommon
Charmeleon,46,Secret Wonders,Pokémon - Stage 1,Fire,Uncommon
Cloyster,47,Secret Wonders,Pokémon - Stage 1,Water,Uncommon
Donphan,48,Secret Wonders,Pokémon - Stage 1,Fighting,Uncommon
Farfetch'd,49,Secret Wonders,Pokémon - Basic,Colorless,Uncommon
Flaaffy,50,Secret Wonders,Pokémon - Stage 1,Lightning,Uncommon
Ivysaur,51,Secret Wonders,Pokémon - Stage 1,Grass,Uncommon
Kecleon,52,Secret Wonders,Pokémon - Basic,Colorless,Uncommon
Kirlia,53,Secret Wonders,Pokémon - Stage 1,Psychic,Uncommon
Lombre,54,Secret Wonders,Pokémon - Stage 1,Water,Uncommon
Miltank,55,Secret Wonders,Pokémon - Basic,Colorless,Uncommon
Muk,56,Secret Wonders,Pokémon - Stage 1,Psychic,Uncommon
Nidorino,57,Secret Wonders,Pokémon - Stage 1,Psychic,Uncommon
Pidgeotto,58,Secret Wonders,Pokémon - Stage 2,Colorless,Uncommon
Pinsir,59,Secret Wonders,Pokémon - Basic,Grass,Uncommon
Quagsire,60,Secret Wonders,Pokémon - Stage 1,Water,Uncommon
Raticate,61,Secret Wonders,Pokémon - Stage 1,Colorless,Uncommon
Roselia,62,Secret Wonders,Pokémon - Basic,Grass,Uncommon
Sableye,63,Secret Wonders,Pokémon - Basic,Darkness,Uncommon
Shelgon,64,Secret Wonders,Pokémon - Stage 1,Colorless,Uncommon
Skiploom,65,Secret Wonders,Pokémon - Stage 1,Grass,Uncommon
Smeargle,66,Secret Wonders,Pokémon - Basic,Colorless,Uncommon
Smoochum,67,Secret Wonders,Pokémon - Basic,Psychic,Uncommon
Unown K,68,Secret Wonders,Pokémon - Basic,Psychic,Uncommon
Unown N,69,Secret Wonders,Pokémon - Basic,Psychic,Uncommon
Unown O,70,Secret Wonders,Pokémon - Basic,Psychic,Uncommon
Unown X,71,Secret Wonders,Pokémon - Basic,Psychic,Uncommon
Unown Z,72,Secret Wonders,Pokémon - Basic,Psychic,Uncommon
Venomoth,73,Secret Wonders,Pokémon - Stage 1,Grass,Uncommon
Vibrava,74,Secret Wonders,Pokémon - Stage 1,Fighting,Uncommon
Wartortle,75,Secret Wonders,Pokémon - Stage 1,Water,Uncommon
Bagon,76,Secret Wonders,Pokémon - Basic,Colorless,Common
Bulbasaur,77,Secret Wonders,Pokémon - Basic,Grass,Common
Burmy Plant Cloak,78,Secret Wonders,Pokémon - Basic,Grass,Common
Burmy Sandy Cloak,79,Secret Wonders,Pokémon - Basic,Grass,Common
Burmy Trash Cloak,80,Secret Wonders,Pokémon - Basic,Grass,Common
Carvanha,81,Secret Wonders,Pokémon - Basic,Darkness,Common
Charmander,82,Secret Wonders,Pokémon - Basic,Fire,Common
Clefairy,83,Secret Wonders,Pokémon - Basic,n/a,Common
Corsola,84,Secret Wonders,Pokémon - ,Water,Common
Diglett,85,Secret Wonders,Pokémon - Basic,Fighting,Common
Duskull,86,Secret Wonders,Pokémon - Basic,Psychic,Common
Electabuzz,87,Secret Wonders,Pokémon - Basic,Lightning,Common
Grimer,88,Secret Wonders,Pokémon - Basic,Psychic,Common
