Absol G,1,Supreme Victors,Pokémon - Basic,Darkness,Rare Holo
Blaziken FB,2,Supreme Victors,Pokémon - Basic,Fire,Rare Holo
Drifblim FB,3,Supreme Victors,Pokémon - Basic,Psychic,Rare Holo
Electivire FB,4,Supreme Victors,Pokémon - Basic,Lightning,Rare Holo
Garchomp,5,Supreme Victors,Pokémon - Stage 2,Colorless,Rare Holo
Magmortar,6,Supreme Victors,Pokémon - Stage 1,Fire,Rare Holo
Metagross,7,Supreme Victors,Pokémon - Stage 2,Metal,Rare Holo
Rayquaza C,8,Supreme Victors,Pokémon - Basic,Colorless,Rare Holo
Regigigas FB,9,Supreme Victors,Pokémon - Basic,Colorless,Rare Holo
Rhyperior,10,Supreme Victors,Pokémon - Stage 2,Fighting,Rare Holo
Staraptor FB,11,Supreme Victors,Pokémon - Basic,Colorless,Rare Holo
Swampert,12,Supreme Victors,Pokémon - Stage 2,Water,Rare Holo
Venusaur,13,Supreme Victors,Pokémon - Stage 2,Grass,Rare Holo
Yanmega,14,Supreme Victors,Pokémon - Stage 1,Grass,Rare Holo
Arcanine G,15,Supreme Victors,Pokémon - Basic,Fire,Rare
Articuno,16,Supreme Victors,Pokémon - Basic,Water,Rare
Butterfree FB,17,Supreme Victors,Pokémon - Basic,Grass,Rare
Camerupt,18,Supreme Victors,Pokémon - Stage 1,Fire,Rare
Camerupt G,19,Supreme Victors,Pokémon - Basic,Fire,Rare
Charizard G,20,Supreme Victors,Pokémon - Basic,Fire,Rare
Chimecho,21,Supreme Victors,Pokémon - Basic,Psychic,Rare
Claydol,22,Supreme Victors,Pokémon - Stage 1,Psychic,Rare
Crawdaunt G,23,Supreme Victors,Pokémon - Basic,Darkness,Rare
Dewgong,24,Supreme Victors,Pokémon - Stage 1,n/a,Rare
Dodrio,25,Supreme Victors,Pokémon - Stage 1,Colorless,Rare
Dusknoir FB,26,Supreme Victors,Pokémon - Basic,Psychic,Rare
Empoleon FB,27,Supreme Victors,Pokémon - Basic,Water,Rare
Exploud,28,Supreme Victors,Pokémon - Stage 2,Colorless,Rare
Honchkrow,29,Supreme Victors,Pokémon - Stage 1,Darkness,Rare
Lickilicky C,30,Supreme Victors,Pokémon - Basic,Colorless,Rare
Lucario C,31,Supreme Victors,Pokémon - Basic,Fighting,Rare
Lunatone,32,Supreme Victors,Pokémon - Basic,Psychic,Rare
Mawile,33,Supreme Victors,Pokémon - Basic,Metal,Rare
Medicham,34,Supreme Victors,Pokémon - Stage 1,Psychic,Rare
Milotic C,35,Supreme Victors,Pokémon - Basic,Water,Rare
Moltres,36,Supreme Victors,Pokémon - Basic,Fire,Rare
Mr. Mime,37,Supreme Victors,Pokémon - Basic,Psychic,Rare
Parasect,38,Supreme Victors,Pokémon - Stage 1,Grass,Rare
Primeape,39,Supreme Victors,Pokémon - Stage 1,Fighting,Rare
Roserade C,40,Supreme Victors,Pokémon - Basic,Psychic,Rare
Sableye G,41,Supreme Victors,Pokémon - Basic,Darkness,Rare
Sandslash,42,Supreme Victors,Pokémon - Stage 1,Fighting,Rare
