Team Aqua's Cacturne,1,Team Magma vs Team Aqua,Pokémon - Stage 1,Darkness & Grass,Rare Holo
Team Aqua's Crawdaunt,2,Team Magma vs Team Aqua,Pokémon - Stage 1,Darkness & Water,Rare Holo
Team Aqua's Kyogre,3,Team Magma vs Team Aqua,Pokémon - Basic,Darkness & Water,Rare Holo
Team Aqua's Manectric,4,Team Magma vs Team Aqua,Pokémon - Stage 1,Darkness & Lightning,Rare Holo
Team Aqua's Sharpedo,5,Team Magma vs Team Aqua,Pokémon - Stage 1,Darkness & Water,Rare Holo
Team Aqua's Walrein,6,Team Magma vs Team Aqua,Pokémon - Stage 2,Darkness & Water,Rare Holo
Team Magma's Aggron,7,Team Magma vs Team Aqua,Pokémon - Stage 2,Darkness & Fighting,Rare Holo
Team Magma's Claydol,8,Team Magma vs Team Aqua,Pokémon - Stage 1,Darkness & Psychic,Rare Holo
Team Magma's Groudon,9,Team Magma vs Team Aqua,Pokémon - Basic,Darkness & Fighting,Rare Holo
Team Magma's Houndoom,10,Team Magma vs Team Aqua,Pokémon - Stage 1,Darkness & Fire,Rare Holo
Team Magma's Rhydon,11,Team Magma vs Team Aqua,Pokémon - Stage 1,Darkness & Fighting,Rare Holo
Team Magma's Torkoal,12,Team Magma vs Team Aqua,Pokémon - Basic,Darkness & Fire,Rare Holo
Raichu,13,Team Magma vs Team Aqua,Pokémon - Stage 1,Lightning,Rare
Team Aqua's Crawdaunt,14,Team Magma vs Team Aqua,Pokémon - Stage 1,Water,Rare
Team Aqua's Mightyena,15,Team Magma vs Team Aqua,Pokémon - Stage 1,Darkness,Rare
Team Aqua's Sealeo,16,Team Magma vs Team Aqua,Pokémon - Stage 1,Water,Rare
Team Aqua's Seviper,17,Team Magma vs Team Aqua,Pokémon - Basic,Grass,Rare
Team Aqua's Sharpedo,18,Team Magma vs Team Aqua,Pokémon - Stage 1,Water,Rare
Team Magma's Camerupt,19,Team Magma vs Team Aqua,Pokémon - Stage 1,Fire,Rare
Team Magma's Lairon,20,Team Magma vs Team Aqua,Pokémon - Stage 1,Fighting,Rare
Team Magma's Mightyena,21,Team Magma vs Team Aqua,Pokémon - Stage 1,Darkness,Rare
Team Magma's Rhydon,22,Team Magma vs Team Aqua,Pokémon - Stage 1,Fighting,Rare
Team Magma's Zangoose,23,Team Magma vs Team Aqua,Pokémon - Basic,Colorless,Rare
Team Aqua's Cacnea,24,Team Magma vs Team Aqua,Pokémon - Basic,Darkness & Grass,Uncommon
Team Aqua's Carvanha,25,Team Magma vs Team Aqua,Pokémon - Basic,Water,Uncommon
Team Aqua's Electrike,27,Team Magma vs Team Aqua,Pokémon - Basic,Lightning,Uncommon
Team Aqua's Corphish,26,Team Magma vs Team Aqua,Pokémon - Basic,Water,Uncommon
Team Aqua's Lanturn,28,Team Magma vs Team Aqua,Pokémon - Stage 1,Lightning,Uncommon
Team Aqua's Manectric,29,Team Magma vs Team Aqua,Pokémon - Stage 1,Lightning,Uncommon
Team Aqua's Mightyena,30,Team Magma vs Team Aqua,Pokémon - Stage 1,Darkness,Uncommon
Team Aqua's Sealeo,31,Team Magma vs Team Aqua,Pokémon - Stage 1,Water,Uncommon
Team Magma's Baltoy,32,Team Magma vs Team Aqua,Pokémon - Basic,Psychic,Uncommon
Team Magma's Claydol,33,Team Magma vs Team Aqua,Pokémon - Stage 1,Fighting,Uncommon
Team Magma's Houndoom,34,Team Magma vs Team Aqua,Pokémon - Stage 1,Fire,Uncommon
Team Magma's Houndour,35,Team Magma vs Team Aqua,Pokémon - Basic,Fire,Uncommon
Team Magma's Lairon,36,Team Magma vs Team Aqua,Pokémon - Stage 1,Fighting,Uncommon
Team Magma's Mightyena,37,Team Magma vs Team Aqua,Pokémon - Stage 1,Darkness,Uncommon
Team Magma's Rhyhorn,38,Team Magma vs Team Aqua,Pokémon - Basic,Fighting,Uncommon
Bulbasaur,39,Team Magma vs Team Aqua,Pokémon - Basic,Grass,Common
Cubone,40,Team Magma vs Team Aqua,Pokémon - Basic,Fighting,Common
Jigglypuff,41,Team Magma vs Team Aqua,Pokémon - Basic,Colorless,Common
Meowth,42,Team Magma vs Team Aqua,Pokémon - Basic,Colorless,Common
Pikachu,43,Team Magma vs Team Aqua,Pokémon - Basic,Lightning,Common
Psyduck,44,Team Magma vs Team Aqua,Pokémon - Basic,Water,Common
Slowpoke,45,Team Magma vs Team Aqua,Pokémon - Basic,Psychic,Common
Squirtle,46,Team Magma vs Team Aqua,Pokémon - Basic,Water,Common
Team Aqua's Carvanha,47,Team Magma vs Team Aqua,Pokémon - Basic,Water,Common
Team Aqua's Carvanha,48,Team Magma vs Team Aqua,Pokémon - Basic,Water,Common
Team Aqua's Chinchou,49,Team Magma vs Team Aqua,Pokémon - Basic,Lightning,Common
Team Aqua's Corphish,50,Team Magma vs Team Aqua,Pokémon - Basic,Water,Common
Team Aqua's Corphish,51,Team Magma vs Team Aqua,Pokémon - Basic,Water,Common
Team Aqua's Electrike,52,Team Magma vs Team Aqua,Pokémon - Basic,Lightning,Common
Team Aqua's Electrike,53,Team Magma vs Team Aqua,Pokémon - Basic,Lightning,Common
Team Aqua's Poochyena,54,Team Magma vs Team Aqua,Pokémon - Basic,Darkness,Common
Team Aqua's Poochyena,55,Team Magma vs Team Aqua,Pokémon - Basic,Darkness,Common
Team Aqua's Spheal,56,Team Magma vs Team Aqua,Pokémon - Basic,Water,Common
Team Aqua's Spheal,57,Team Magma vs Team Aqua,Pokémon - Basic,Water,Common
Team Magma's Aron,58,Team Magma vs Team Aqua,Pokémon - Basic,Fighting,Common
Team Magma's Aron,59,Team Magma vs Team Aqua,Pokémon - Basic,Fighting,Common
Team Magma's Baltoy,60,Team Magma vs Team Aqua,Pokémon - Basic,Fighting,Common
Team Magma's Baltoy,61,Team Magma vs Team Aqua,Pokémon - Basic,Fighting,Common
Team Magma's Houndour,62,Team Magma vs Team Aqua,Pokémon - Basic,Fire,Common
Team Magma's Houndour,63,Team Magma vs Team Aqua,Pokémon - Basic,Fire,Common
Team Magma's Numel,64,Team Magma vs Team Aqua,Pokémon - Basic,Fire,Common
Team Magma's Poochyena,65,Team Magma vs Team Aqua,Pokémon - Basic,Darkness,Common
Team Magma's Poochyena,66,Team Magma vs Team Aqua,Pokémon - Basic,Darkness,Common
Team Magma's Rhyhorn,67,Team Magma vs Team Aqua,Pokémon - Basic,Fighting,Common
Team Magma's Rhyhorn,68,Team Magma vs Team Aqua,Pokémon - Basic,Fighting,Common
Team Aqua Schemer,69,Team Magma vs Team Aqua,Trainer - Supporter,n/a,Common
Team Magma Schemer,70,Team Magma vs Team Aqua,Trainer - Supporter,n/a,Common
