Dark Alakazam,1,Team Rocket,Pokémon - Stage 2,Psychic,Rare Holo
Dark Arbok,2,Team Rocket,Pokémon - Stage 1,Grass,Rare Holo
Dark Blastoise,3,Team Rocket,Pokémon - Stage 2,Water,Rare Holo
Dark Charizard,4,Team Rocket,Pokémon - Stage 2,Fire,Rare Holo
Dark Dragonite,5,Team Rocket,Pokémon - Stage 2,Colorless,Rare Holo
Dark Dugtrio,6,Team Rocket,Pokémon - Stage 1,Fighting,Rare Holo
Dark Golbat,7,Team Rocket,Pokémon - Stage 1,Grass,Rare Holo
Dark Gyarados,8,Team Rocket,Pokémon - Stage 1,Water,Rare Holo
Dark Hypno,9,Team Rocket,Pokémon - Stage 1,Psychic,Rare Holo
Dark Machamp,10,Team Rocket,Pokémon - Stage 2,Fighting,Rare Holo
Dark Magneton,11,Team Rocket,Pokémon - Stage 1,Lightning,Rare Holo
Dark Slowbro,12,Team Rocket,Pokémon - Stage 1,Psychic,Rare Holo
Dark Vileplume,13,Team Rocket,Pokémon - Stage 2,Grass,Rare Holo
Dark Weezing,14,Team Rocket,Pokémon - Stage 1,Grass,Rare Holo
Here Comes Team Rocket!,15,Team Rocket,Trainer,n/a,Rare Holo
Rocket's Sneak Attack,16,Team Rocket,Trainer,n/a,Rare Holo
Rainbow Energy,17,Team Rocket,Energy - Special Energy,n/a,Rare Holo
Dark Alakazam,18,Team Rocket,Pokémon - Stage 2,Psychic,Rare
Dark Arbok,19,Team Rocket,Pokémon - Stage 1,Grass,Rare
Dark Blastoise,20,Team Rocket,Pokémon - Stage 2,Water,Rare
Dark Charizard,21,Team Rocket,Pokémon - Stage 2,Fire,Rare
Dark Dragonite,22,Team Rocket,Pokémon - Stage 2,Colorless,Rare
Dark Dugtrio,23,Team Rocket,Pokémon - Stage 1,Fighting,Rare
Dark Golbat,24,Team Rocket,Pokémon - Stage 1,Grass,Rare
Dark Gyarados,25,Team Rocket,Pokémon - Stage 1,Water,Rare
Dark Hypno,26,Team Rocket,Pokémon - Stage 1,Psychic,Rare
Dark Machamp,27,Team Rocket,Pokémon - Stage 2,Fighting,Rare
Dark Magneton,28,Team Rocket,Pokémon - Stage 1,Lightning,Rare
Dark Slowbro,29,Team Rocket,Pokémon - Stage 1,Psychic,Rare
Dark Vileplume,30,Team Rocket,Pokémon - Stage 2,Grass,Rare
Dark Weezing,31,Team Rocket,Pokémon - Stage 1,Grass,Rare
Dark Charmeleon,32,Team Rocket,Pokémon - Stage 1,Fire,Uncommon
Dark Dragonair,33,Team Rocket,Pokémon - Stage 1,Colorless,Uncommon
Dark Electrode,34,Team Rocket,Pokémon - Stage 1,Lightning,Uncommon
Dark Flareon,35,Team Rocket,Pokémon - Stage 1,Fire,Uncommon
Dark Gloom,36,Team Rocket,Pokémon - Stage 1,Grass,Uncommon
Dark Golduck,37,Team Rocket,Pokémon - Stage 1,Water,Uncommon
Dark Jolteon,38,Team Rocket,Pokémon - Stage 1,Lightning,Uncommon
Dark Kadabra,39,Team Rocket,Pokémon - Stage 1,Psychic,Uncommon
Dark Machoke,40,Team Rocket,Pokémon - Stage 1,Fighting,Uncommon
Dark Muk,41,Team Rocket,Pokémon - Stage 1,Grass,Uncommon
Dark Persian,42,Team Rocket,Pokémon - Stage 1,Colorless,Uncommon
