Jirachi,1,Unleashed,Pokémon - Basic,Psychic,Rare Holo
Magmortar,2,Unleashed,Pokémon - Stage 1,Fire,Rare Holo
Manaphy,3,Unleashed,Pokémon - Basic,Water,Rare Holo
Metagross,4,Unleashed,Pokémon - Stage 2,Psychic,Rare Holo
Mismagius,5,Unleashed,Pokémon - Stage 1,Psychic,Rare Holo
Octillery,6,Unleashed,Pokémon - Stage 1,Water,Rare Holo
Politoed,7,Unleashed,Pokémon - Stage 2,Water,Rare Holo
Shaymin,8,Unleashed,Pokémon - Basic,Grass,Rare Holo
Sudowoodo,9,Unleashed,Pokémon - Basic,Fighting,Rare Holo
Torterra,10,Unleashed,Pokémon - Stage 2,Grass,Rare Holo
Xatu,11,Unleashed,Pokémon - Stage 1,Psychic,Rare Holo
Beedrill,12,Unleashed,Pokémon - Stage 2,Grass,Rare
Blastoise,13,Unleashed,Pokémon - Stage 2,Water,Rare
Crobat,14,Unleashed,Pokémon - Stage 2,Psychic,Rare
Fearow,15,Unleashed,Pokémon - Stage 1,Colorless,Rare
Floatzel,16,Unleashed,Pokémon - Stage 1,Water,Rare
Kingdra,17,Unleashed,Pokémon - Stage 2,Water,Rare
Lanturn,18,Unleashed,Pokémon - Stage 1,Lightning,Rare
Lucario,19,Unleashed,Pokémon - Stage 1,Fighting,Rare
Ninetales,20,Unleashed,Pokémon - Stage 1,Fire,Rare
Poliwrath,21,Unleashed,Pokémon - Stage 2,Water,Rare
Primeape,22,Unleashed,Pokémon - Stage 1,Fighting,Rare
Roserade,23,Unleashed,Pokémon - Stage 1,Grass,Rare
Steelix,24,Unleashed,Pokémon - Stage 1,Metal,Rare
Torkoal,25,Unleashed,Pokémon - Basic,Fire,Rare
Tyranitar,26,Unleashed,Pokémon - Stage 2,Darkness,Rare
Ursaring,27,Unleashed,Pokémon - Stage 1,Colorless,Rare
Cherrim,28,Unleashed,Pokémon - Stage 1,Grass,Uncommon
Dunsparce,29,Unleashed,Pokémon - Basic,Colorless,Uncommon
Golbat,30,Unleashed,Pokémon - Stage 1,Psychic,Uncommon
Grotle,31,Unleashed,Pokémon - Stage 1,Grass,Uncommon
Kakuna,32,Unleashed,Pokémon - Stage 1,Grass,Uncommon
Metang,33,Unleashed,Pokémon - Stage 1,Psychic,Uncommon
Minun,34,Unleashed,Pokémon - Basic,Lightning,Uncommon
Numel,35,Unleashed,Pokémon - Basic,Fire,Uncommon
Plusle,36,Unleashed,Pokémon - Basic,Lightning,Uncommon
Poliwhirl,37,Unleashed,Pokémon - Stage 1,Water,Uncommon
Pupitar,38,Unleashed,Pokémon - Stage 1,Fighting,Uncommon
Pupitar,39,Unleashed,Pokémon - Stage 1,Fighting,Uncommon
Seadra,40,Unleashed,Pokémon - Stage 1,Water,Uncommon
Tauros,41,Unleashed,Pokémon - Basic,Colorless,Uncommon
Wartortle,42,Unleashed,Pokémon - Stage 1,Water,Uncommon
Aipom,43,Unleashed,Pokémon - Basic,Colorless,Common
Beldum,44,Unleashed,Pokémon - Basic,Psychic,Common
Buizel,45,Unleashed,Pokémon - Basic,Water,Common
Carnivine,46,Unleashed,Pokémon - Basic,Grass,Common
Cherubi,47,Unleashed,Pokémon - Basic,Grass,Common
Chinchou,48,Unleashed,Pokémon - Basic,Lightning,Common
Horsea,49,Unleashed,Pokémon - Basic,Water,Common
Larvitar,50,Unleashed,Pokémon - Basic,Fighting,Common
