Chespin,XY01,XY Promos,Pokémon - Basic,Grass,Promo
Fennekin,XY02,XY Promos,Pokémon - Basic,Fire,Promo
Froakie,XY03,XY Promos,Pokémon - Basic,Water,Promo
Sylveon,XY04,XY Promos,Pokémon - Stage 1,Fairy,Promo
Xerneas,XY05,XY Promos,Pokémon - Basic,Fairy,Promo
Yveltal,XY06,XY Promos,Pokémon - Basic,Darkness,Promo
Xerneas-EX,XY07,XY Promos,Pokémon - Basic,Fairy,Promo
Yveltal-EX,XY08,XY Promos,Pokémon - Basic,Darkness,Promo
Garchomp-EX,XY09,XY Promos,Pokémon - Basic,Dragon,Promo
Dragalge,XY10,XY Promos,Pokémon - Stage 1,Dragon,Promo
Skiddo,XY11,XY Promos,Pokémon - Basic,Grass,Promo
Honedge,XY12,XY Promos,Pokémon - Basic,Metal,Promo
