Venusaur-EX,1,XY,Pokémon - Basic,Grass,Ultra Rare
M-Venusaur-EX,2,XY,Pokémon - Mega,Grass,Ultra Rare
Weedle,3,XY,Pokémon - Basic,Grass,Common
Kakuna,4,XY,Pokémon - Stage 1,Grass,Uncommon
Beedrill,5,XY,Pokémon - Stage 2,Grass,Rare
Ledyba,6,XY,Pokémon - Basic,Grass,Common
Ledian,7,XY,Pokémon - Stage 1,Grass,Uncommon
Volbeat,8,XY,Pokémon - Basic,Grass,Uncommon
Illumise,9,XY,Pokémon - Basic,Grass,Uncommon
Pansage,10,XY,Pokémon - Basic,Grass,Common
Simisage,11,XY,Pokémon - Stage 1,Grass,Rare
Chespin,12,XY,Pokémon - Basic,Grass,Common
Quilladin,13,XY,Pokémon - Stage 1,Grass,Uncommon
Chesnaught,14,XY,Pokémon - Stage 2,Grass,Rare Holo
Scatterbug,15,XY,Pokémon - Basic,Grass,Common
Spewpa,16,XY,Pokémon - Stage 1,Grass,Uncommon
Vivillon,17,XY,Pokémon - Stage 2,Grass,Rare Holo
Skiddo,18,XY,Pokémon - Basic,Grass,Common
Gogoat,19,XY,Pokémon - Stage 1,Grass,Rare Holo
Slugma,20,XY,Pokémon - Basic,Fire,Common
Magcargo,21,XY,Pokémon - Stage 1,Fire,Rare
Pansear,22,XY,Pokémon - Basic,Fire,Common
Simisear,23,XY,Pokémon - Stage 1,Fire,Rare
Fennekin,24,XY,Pokémon - Basic,Fire,Common
Braixen,25,XY,Pokémon - Stage 1,Fire,Uncommon
Delphox,26,XY,Pokémon - Stage 2,Fire,Rare Holo
Fletchinder,27,XY,Pokémon - Stage 1,Fire,Uncommon
Talonflame,28,XY,Pokémon - Stage 2,Fire,Rare Holo
Blastoise-EX,29,XY,Pokémon - Basic,Water,Ultra Rare
M-Blastoise-EX,30,XY,Pokémon - Mega,Water,Ultra Rare
Shellder,31,XY,Pokémon - Basic,Water,Common
Cloyster,32,XY,Pokémon - Stage 1,Water,Rare
Staryu,33,XY,Pokémon - Basic,Water,Common
Starmie,34,XY,Pokémon - Stage 1,Water,Rare
Lapras,35,XY,Pokémon - Basic,Water,Rare Holo
Corsola,36,XY,Pokémon - Basic,Water,Uncommon
Panpour,37,XY,Pokémon - Basic,Water,Common
Simipour,38,XY,Pokémon - Stage 1,Water,Rare
Froakie,39,XY,Pokémon - Basic,Water,Common
Frogadier,40,XY,Pokémon - Stage 1,Water,Uncommon
Greninja,41,XY,Pokémon - Stage 2,Water,Rare Holo
Pikachu,42,XY,Pokémon - Basic,Lightning,Common
Raichu,43,XY,Pokémon - Stage 1,Lightning,Rare Holo
Voltorb,44,XY,Pokémon - Basic,Lightning,Common
Electrode,45,XY,Pokémon - Stage 1,Lightning,Uncommon
Emolga-EX,46,XY,Pokémon - Basic,Lightning,Ultra Rare
Ekans,47,XY,Pokémon - Basic,Psychic,Common
Arbok,48,XY,Pokémon - Stage 1,Psychic,Rare
Spoink,49,XY,Pokémon - Basic,Psychic,Common
Grumpig,50,XY,Pokémon - Stage 1,Psychic,Rare
Venipede,51,XY,Pokémon - Basic,Psychic,Common
Whirlipede,52,XY,Pokémon - Stage 1,Psychic,Uncommon
Scolipede,53,XY,Pokémon - Stage 2,Psychic,Rare
Phantump,54,XY,Pokémon - Basic,Psychic,Common
Trevenant,55,XY,Pokémon - Stage 1,Psychic,Rare Holo
Pumpkaboo,56,XY,Pokémon - Basic,Psychic,Common
Gourgeist,57,XY,Pokémon - Stage 1,Psychic,Rare Holo
Diglett,58,XY,Pokémon - Basic,Fighting,Common
Dugtrio,59,XY,Pokémon - Stage 1,Fighting,Rare
Rhyhorn,60,XY,Pokémon - Basic,Fighting,Common
Rhydon,61,XY,Pokémon - Stage 1,Fighting,Rare
Rhyperior,62,XY,Pokémon - Stage 2,Fighting,Rare Holo
Lunatone,63,XY,Pokémon - Basic,Fighting,Uncommon
Solrock,64,XY,Pokémon - Basic,Fighting,Uncommon
Timburr,65,XY,Pokémon - Basic,Fighting,Common
Gurdurr,66,XY,Pokémon - Stage 1,Fighting,Uncommon
Conkeldurr,67,XY,Pokémon - Stage 2,Fighting,Rare
Sableye,68,XY,Pokémon - Basic,Darkness,Uncommon
Sandile,69,XY,Pokémon - Basic,Darkness,Common
Krokorok,70,XY,Pokémon - Stage 1,Darkness,Uncommon
Krookodile,71,XY,Pokémon - Stage 2,Darkness,Rare
Zorua,72,XY,Pokémon - Basic,Darkness,Common
Zoroark,73,XY,Pokémon - Stage 1,Darkness,Rare Holo
Inkay,74,XY,Pokémon - Basic,Darkness,Uncommon
Inkay,75,XY,Pokémon - Basic,Darkness,Common
Malamar,76,XY,Pokémon - Stage 1,Darkness,Rare
Malamar,77,XY,Pokémon - Stage 1,Darkness,Rare
Yveltal,78,XY,Pokémon - Basic,Darkness,Rare
Yveltal-EX,79,XY,Pokémon - Basic,Darkness,Ultra Rare
Skarmory-EX,80,XY,Pokémon - Basic,Metal,Ultra Rare
Pawniard,81,XY,Pokémon - Basic,Metal,Common
Bisharp,82,XY,Pokémon - Stage 1,Metal,Rare
Honedge,83,XY,Pokémon - Basic,Metal,Common
Doublade,84,XY,Pokémon - Stage 1,Metal,Uncommon
Aegislash,85,XY,Pokémon - Stage 2,Metal,Rare
Aegislash,86,XY,Pokémon - Stage 2,Metal,Rare Holo
Jigglypuff,87,XY,Pokémon - Basic,Fairy,Common
Jigglypuff,88,XY,Pokémon - Basic,Fairy,Common
Wigglytuff,89,XY,Pokémon - Stage 1,Fairy,Rare
Wigglytuff,90,XY,Pokémon - Stage 1,Fairy,Rare
Mr. Mime,91,XY,Pokémon - Basic,Fairy,Uncommon
Spritzee,92,XY,Pokémon - Basic,Fairy,Common
Aromatisse,93,XY,Pokémon - Stage 1,Fairy,Rare Holo
Swirlix,94,XY,Pokémon - Basic,Fairy,Common
Slurpuff,95,XY,Pokémon - Stage 1,Fairy,Rare Holo
Xerneas,96,XY,Pokémon - Basic,Fairy,Rare
Xerneas-EX,97,XY,Pokémon - Basic,Fairy,Ultra Rare
Doduo,98,XY,Pokémon - Basic,Colorless,Common
Dodrio,99,XY,Pokémon - Stage 1,Colorless,Uncommon
Tauros,100,XY,Pokémon - Basic,Colorless,Rare
Dunsparce,101,XY,Pokémon - Basic,Colorless,Uncommon
Taillow,102,XY,Pokémon - Basic,Colorless,Common
Swellow,103,XY,Pokémon - Stage 1,Colorless,Rare
Skitty,104,XY,Pokémon - Basic,Colorless,Common
Delcatty,105,XY,Pokémon - Stage 1,Colorless,Uncommon
Bidoof,106,XY,Pokémon - Basic,Colorless,Common
Bibarel,107,XY,Pokémon - Stage 1,Colorless,Rare
Lillipup,108,XY,Pokémon - Basic,Colorless,Common
Herdier,109,XY,Pokémon - Stage 1,Colorless,Uncommon
Stoutland,110,XY,Pokémon - Stage 2,Colorless,Rare
Bunnelby,111,XY,Pokémon - Basic,Colorless,Common
Diggersby,112,XY,Pokémon - Stage 1,Colorless,Uncommon
Fletchling,113,XY,Pokémon - Basic,Colorless,Common
Furfrou,114,XY,Pokémon - Basic,Colorless,Rare Holo
Cassius,115,XY,Trainer - Supporter,n/a,Uncommon
Evosoda,116,XY,Trainer - Item,n/a,Uncommon
Fairy Garden,117,XY,Trainer - Stadium,n/a,Uncommon
Great Ball,118,XY,Trainer - Item,n/a,Uncommon
Hard Charm,119,XY,Trainer - Item - Pokémon Tool,n/a,Uncommon
Max Revive,120,XY,Trainer - Item,n/a,Uncommon
Muscle Band,121,XY,Trainer - Item - Pokémon Tool,n/a,Uncommon
Professor Sycamore,122,XY,Trainer - Supporter,n/a,Uncommon
Professor's Letter,123,XY,Trainer - Item,n/a,Uncommon
Red Card,124,XY,Trainer - Item,n/a,Uncommon
Roller Skates,125,XY,Trainer - Item,n/a,Uncommon
Shadow Circle,126,XY,Trainer - Stadium,n/a,Uncommon
Shauna,127,XY,Trainer - Supporter,n/a,Uncommon
Super Potion,128,XY,Trainer - Item,n/a,Uncommon
Team Flare Grunt,129,XY,Trainer - Supporter,n/a,Uncommon
Double Colorless Energy,130,XY,Energy - Special Energy,n/a,Uncommon
Rainbow Energy,131,XY,Energy - Special Energy,n/a,Uncommon
Grass Energy,132,XY,Energy - Basic Energy,n/a,Common
Fire Energy,133,XY,Energy - Basic Energy,n/a,Common
Water Energy,134,XY,Energy - Basic Energy,n/a,Common
Lightning Energy,135,XY,Energy - Basic Energy,n/a,Common
Psychic Energy,136,XY,Energy - Basic Energy,n/a,Common
Fighting Energy,137,XY,Energy - Basic Energy,n/a,Common
Darkness Energy,138,XY,Energy - Basic Energy,n/a,Common
Metal Energy,139,XY,Energy - Basic Energy,n/a,Common
Fairy Energy,140,XY,Energy - Basic Energy,n/a,Common
Venusaur-EX,141,XY,Pokémon - Basic,Grass,Ultra Rare
Blastoise-EX,142,XY,Pokémon - Basic,Water,Ultra Rare
Emolga-EX,143,XY,Pokémon - Basic,Lightning,Ultra Rare
Yveltal-EX,144,XY,Pokémon - Basic,Darkness,Ultra Rare
Skarmory-EX,145,XY,Pokémon - Basic,Metal,Ultra Rare
